No.,US,AC,Step,Title,Expectation,Priority
39,,,"1. Login as Coach
2. Open a conversation
3. Open Create Saved Response popup
4. Observe MESSAGE field
5. Verify field properties","MESSAGE field — required, placeholder, no text-formatting","- SHOULD display MESSAGE field as required
- SHOULD show placeholder: Write the full message you want to send to clients
- SHOULD NOT allow text-formatting",High
40,,,"1. Login as Coach
2. Open a conversation
3. Open Create Saved Response popup
4. Paste text exceeding 10,000 characters in MESSAGE field
5. Verify input and character count",MESSAGE field 10000 char max — count display and cut on paste,"- SHOULD allow max 10,000 characters; show character count as {X}/10000; cut off excess on paste",Medium
41,,,"1. Login as Coach
2. Open a conversation
3. Open Create Saved Response popup
4. Observe Save and Cancel buttons (both fields empty)
5. Verify button states","Save disabled, Cancel enabled by default","- SHOULD display Save button as disabled
- SHOULD display Cancel button as enabled",High
42,,,"1. Login as Coach
2. Open a conversation
3. Open Create Saved Response popup
4. Fill in both TITLE and MESSAGE fields
5. Verify Save button",Save enabled when both fields filled,- SHOULD enable Save button when both TITLE and MESSAGE are filled,High
43,,,"1. Login as Coach
2. Open a conversation
3. Open Create Saved Response popup
4. Click Cancel button
5. Verify popup",Cancel button closes popup,- SHOULD close the popup,Medium
44,,,"1. Login as Coach
2. Open a conversation
3. Open Create Saved Response popup
4. Fill in both fields
5. Click Save
6. Verify toast",Save shows success toast,- SHOULD display toast: New Saved Response created.,High
45,,AC6: Edit a saved response,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Hover over message detail, click 3-dot button
5. Click Edit response
6. Verify popup",Edit Saved Response popup opens,- SHOULD display Edit Saved Response popup with title: Edit Saved Response,High
46,,,,fields pre-populated with existing data,- SHOULD pre-populate TITLE and MESSAGE fields with existing saved response data,High
47,,,"1. Login as Coach
2. Open a conversation
3. Open Edit Saved Response popup (no changes made)
4. Click [X] button or Cancel button
5. Verify popup",X / Cancel closes popup without changes,- SHOULD close the popup when no changes have been made,Medium
48,,,"1. Login as Coach
2. Open a conversation
3. Open Edit Saved Response popup
4. Make changes to a field
5. Click [X] button or Cancel button
6. Verify prompt",X / Cancel with unsaved changes shows Discard Changes popup,- SHOULD show Discard Changes? popup with text: Are you sure you want to go? Changes have not been saved yet.,High
49,,,"1. Login as Coach
2. Open a conversation
3. Open Edit Saved Response popup
4. Update fields
5. Click Save
6. Verify toast",Save shows updated toast,- SHOULD display toast: Saved Response updated successfully.,High
50,,AC7: Delete a saved response,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. Hover over message detail, click 3-dot button
5. Click Delete response
6. Verify confirmation popup",Delete confirmation popup shown,"- SHOULD display confirmation popup titled: Delete Response?
- SHOULD show text: This response will be permanently deleted and can't be recovered. Are you sure you want to proceed?",High
51,,,"1. Login as Coach
2. Open a conversation
3. Trigger delete confirmation popup
4. Click OK button
5. Verify result",OK button deletes and shows toast,- SHOULD delete the response and display toast: Saved Response deleted.,High
52,,AC8: Add saved response to chatbox,"1. Login as Coach
2. Open a conversation
3. Open the Saved Responses modal
4. {method} on a saved response (click title or press Enter)
5. Verify chatbox",response appended to chatbox on click/Enter,"- SHOULD append the full message content into the chatbox, behind current text",High
53,US2: Create saved response from a conversation message,AC1: Add Save this response button to Coach's message,"1. Login as Coach
2. Open a conversation
3. Hover over a non-text message sent by the Coach
4. Verify button",Save this response button appears on hover,- SHOULD display a button between the 3-dot and Reply buttons with tooltip: Saved this response,High
54,,,"1. Login as Coach on a workspace with a paid plan (Pro/Studio)
2. Open a conversation
3. Hover over a Coach non-text message
4. Verify button visibility",button visible on paid plan only,"- SHOULD show the Save this response button only if workspace is on a paid plan (Pro, Studio)",High
55,,AC2: Add new saved response from the conversation,"1. Login as Coach
2. Open a conversation
3. Hover over a Coach non-text message
4. Click the Save this response button
5. Verify popup",Add To Saved Responses popup opens,- SHOULD show popup titled: Add To Saved Responses,High
56,,,,"Title blank, Message pre-populated","- SHOULD leave Title field blank
- SHOULD pre-populate Message field with the Coach's message (max 10,000 characters)",High
57,,,"1. Login as Coach
2. Open a conversation
3. Open Add To Saved Responses popup
4. Fill in Title, verify Message pre-populated
5. Click Save
6. Verify toast",Save shows response saved toast,- SHOULD display toast: Response has been saved,High
