No.,US,AC,Step,Title,Expectation,Priority
38,,,6. Verify TITLE field,title field default state,"- SHOULD display empty TITLE field with placeholder ""Name this response for easy search""",Medium
39,,,,title field required,- SHOULD mark TITLE as required field,High
40,,,"6. Hover over info icon next to TITLE label
7. Verify tooltip",title field info tooltip,"- SHOULD show tooltip ""Used to organize responses. This won't appear in messages.""",Low
41,,,"6. Input 140 characters in TITLE field
7. Attempt to input more
8. Verify input blocked",title field max 140 characters,- SHOULD not allow input beyond 140 characters,Medium
42,,,"6. Paste text longer than 140 characters in TITLE field
7. Verify pasted content",title field paste truncation,- SHOULD paste only first 140 characters,Medium
43,,,6. Verify MESSAGE field,message field default state,"- SHOULD display empty MESSAGE field with placeholder ""Write the full message you want to send to clients""",Medium
44,,,,message field required,- SHOULD mark MESSAGE as required field,High
45,,,"6. Paste formatted text in MESSAGE field
7. Verify formatting cleared",message field clears formatting on paste,- SHOULD clear text-formatting when pasting formatted text,Medium
46,,,"6. Input text in MESSAGE field
7. Verify character counter",message field character counter,"- SHOULD show character count as ""{X}/10000""",Medium
47,,,"6. Input 10,000 characters in MESSAGE field
7. Attempt to input more
8. Verify input blocked",message field max 10000 characters,"- SHOULD not allow input beyond 10,000 characters",Medium
48,,,"6. Paste text longer than 10,000 characters in MESSAGE field
7. Verify pasted content",message field paste truncation,"- SHOULD paste only first 10,000 characters",Medium
49,,,6. Verify Cancel button,Cancel button always enabled,- SHOULD display Cancel button in enabled state,Low
50,,,"6. Click Cancel button
7. Verify popup closed",Cancel button closes popup,- SHOULD close Create Saved Response popup,Medium
51,,,6. Verify Save button with empty fields,Save button disabled by default,- SHOULD display Save button in disabled state when fields are empty,High
52,,,"6. Input text in both TITLE and MESSAGE fields
7. Verify Save button",Save button enabled with input,- SHOULD enable Save button when both TITLE and MESSAGE have input,High
53,,,"6. Input TITLE and MESSAGE
7. Click Save button
8. Verify result",save new response success,"- SHOULD add new saved response and show toast ""New Saved Response created.""",Critical
54,,AC6: Edit a saved response,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Click 3-dot on a saved response
5. Click Edit response
6. Verify Edit Saved Response popup",edit popup display,"- SHOULD display Edit Saved Response popup with title ""Edit Saved Response""",High
55,,,,title field pre-populated,- SHOULD pre-populate TITLE field with current saved response title,High
56,,,"7. Click X button without making changes
8. Verify popup closed",X close without changes,- SHOULD close popup when no changes made,Medium
57,,,"7. Edit TITLE or MESSAGE field
8. Click X button
9. Verify discard popup",X close with unsaved changes,"- SHOULD show Discard Changes popup with title ""Discard Changes?"" and warning text",High
58,,,"10. Click Cancel on Discard Changes popup
11. Verify discard popup closed",discard popup cancel,- SHOULD close Discard Changes popup and return to edit form,Medium
59,,,"10. Click Discard Changes button
11. Verify all popups closed",discard changes confirmed,- SHOULD close all popups without saving changes,Medium
60,,,"7. Edit content
8. Click Save button
9. Verify result",edit save success,"- SHOULD save changes and show toast ""Saved Response updated successfully.""",Critical
61,,AC7: Delete a saved response,"1. Login as Coach
2. Open a conversation in Inbox
3. Click Saved Responses button
4. Click 3-dot on a saved response
5. Click Delete response
6. Verify confirmation popup",delete confirmation popup,"- SHOULD show confirmation popup with title ""Delete Response?"" and warning text about permanent deletion",High
62,,,"7. Click Cancel
8. Verify popup closed",cancel delete,- SHOULD close confirmation popup without deleting,Medium
63,,,"7. Click OK
8. Verify response deleted",confirm delete,"- SHOULD delete the response and show toast ""Saved Response deleted.""",Critical
64,,AC8: Add saved response to chat box by selecting an item,"1. Login as Coach
2. Open a conversation in Inbox
3. Type some text in chatbox
4. Click Saved Responses button
5. Click on a saved response title or press Enter
6. Verify chatbox",append response via click or Enter,- SHOULD append full message content into chatbox behind current text,Critical
65,US2: Create a saved response from a conversation message,"AC1: Add ""Save this response"" button to Coach's non-text message","1. Login as Coach on Pro/Studio plan
2. Open a conversation in Inbox
3. Hover over a Coach's non-text message
4. Verify Save this response button",button position between 3-dot and Reply,- SHOULD display Save this response button between 3-dot and Reply buttons,High
66,,,"4. Hover over Save this response button
5. Verify tooltip",button hover tooltip,"- SHOULD show tooltip ""Save this response""",Medium
67,,,"4. Click Save this response button
5. Verify popup",button click shows add popup,- SHOULD show add new saved response popup,High
68,,,"1. Login as Coach on Free plan
2. Open a conversation in Inbox
3. Hover over a Coach's non-text message
4. Verify message actions",button hidden on non-paid plan,- SHOULD not display Save this response button,High
69,,AC2: Add new saved response from the conversation,"1. Login as Coach on Pro/Studio plan
2. Open a conversation in Inbox
3. Hover over a Coach's non-text message
4. Click Save this response button
5. Verify popup",popup title adjusted,"- SHOULD show popup with title ""Add To Saved Responses""",High
70,,,,Title field blank,- SHOULD leave Title field blank,Medium
71,,,,Message field pre-populated,- SHOULD pre-populate Message field with Coach's message content,High
72,,,"1. Login as Coach
2. Open a conversation with Coach's message over 10,000 characters
3. Hover over the message
4. Click Save this response button
5. Verify Message field",message truncation over 10000 chars,"- SHOULD fill first 10,000 characters of message into Message field",Medium
73,,,"6. Input Title
7. Click Save button
8. Verify result",save from conversation success,"- SHOULD add new saved response and show toast ""Response has been saved""",Critical
