No.,US,AC,Step,Title,Expectation,Priority
68,,,1. Verify popup content,popup title and text,"- SHOULD display title ""Delete Response?""
- SHOULD display text ""This response will be permanently deleted and canʼt be recovered. Are you sure you want to proceed?""",High
69,,,"1. Click Cancel button
2. Verify behavior",Cancel closes popup,- SHOULD close popup without deleting,High
70,,,"1. Click OK button
2. Verify result",OK deletes response,"- SHOULD close popup
- SHOULD delete response
- SHOULD display toast ""Saved Response deleted."" on success",Critical
71,,AC8: Add saved response to chat box by selecting an item in Saved Response popup,"1. Login as Coach
2. Open Saved Responses popup
3. Click title / hit ENTER
4. Verify chatbox",append message via click/ENTER,"- SHOULD append full message content to chatbox
- SHOULD place message behind current text if any",Critical
72,"US2: As a coach who frequently messages clients, I want to create a saved response from a message in the conversation, so that I add a new saved response quicker","AC1: Add ""Save this response"" button to Coach's non-text message","1. Login as Coach
2. Navigate to conversation with Coach's non-text message
3. Hover over message
4. Verify button",button between 3-dot and Reply,- SHOULD display button between 3-dot and Reply buttons for Coach's non-text messages,High
73,,,,tooltip on hover,"- SHOULD show tooltip ""Saved this response"" on hover",Low
74,,,"1. Click button
2. Verify popup",click opens AC5 popup,- SHOULD open Add Saved Response popup on click,High
75,,,"1. Navigate to conversation in Free plan
2. Hover over message
3. Verify button visibility",hidden in Free plan,- SHOULD NOT show button when workspace is not in Pro/Studio plan,High
76,,,"1. Navigate to conversation in Pro/Studio plan
2. Hover over message
3. Verify button visibility",shown in Pro/Studio plan,- SHOULD show button when workspace has Pro or Studio plan,High
77,,AC2: Add new saved response from the conversation,"1. Login as Coach
2. Navigate to conversation
3. Hover over Coach's message
4. Click ""Save this response"" button
5. Verify popup",popup with adjusted title,"- SHOULD display popup same as AC1 above
- SHOULD adjust title to ""Add To Saved Responses""",Critical
78,,,1. Verify TITLE field,TITLE blank,- SHOULD leave Title field blank,High
79,,,"1. Verify MESSAGE field with normal message
2. Verify with 10,000+ char message",MESSAGE pre-populated from Coach's message,"- SHOULD pre-populate MESSAGE with Coach's message
- SHOULD cut to first 10,000 characters if message exceeds 10,000",High
80,,,"1. Fill TITLE field
2. Click Save
3. Verify result",Save adds new response,"- SHOULD add message as new saved response
- SHOULD display toast ""Response has been saved""",Critical
