No.,US,AC,Step,Title,Expectation,Priority
41,,,"11. Paste text longer than 140 chars in TITLE field
12. Verify TITLE field",Title paste truncation,- SHOULD cut off and paste only the first 140 characters,Medium
42,,,"11. Paste formatted text in MESSAGE field
12. Verify MESSAGE field",Message no text formatting,- SHOULD clear text-formatting on paste and not allow text-formatting,Medium
43,,,"11. Input 10000 characters in MESSAGE field
12. Try to input more characters
13. Verify MESSAGE field",Message max 10000 chars,"- SHOULD not allow input beyond 10,000 characters",High
44,,,"11. Paste text longer than 10000 chars in MESSAGE field
12. Verify MESSAGE field",Message paste truncation,"- SHOULD cut off and paste only the first 10,000 characters",Medium
45,,,"11. Input text in both TITLE and MESSAGE fields
12. Verify Save button",Save button enabled when filled,- SHOULD enable Save button when both TITLE and MESSAGE fields have input,High
46,,,"13. Click Cancel button
14. Verify popup closes",Cancel closes popup,- SHOULD close the Create Saved Response popup,High
47,,,"13. Click X button
14. Verify popup closes",X button closes popup,- SHOULD close the Create Saved Response popup,High
48,,,"13. Click Save button
14. Verify result",save success toast,"- SHOULD add new saved response and display toast ""New Saved Response created.""",High
49,,AC6: Edit a saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click 3-dot on a saved response
4. Click Edit response
5. Verify Edit Saved Response popup",popup with pre-populated data,"- SHOULD display Edit Saved Response popup with title ""Edit Saved Response"" and pre-populated TITLE and MESSAGE fields",High
50,,,"6. Click X button without making changes
7. Verify popup closes",X close without changes,- SHOULD close the Edit Saved Response popup,High
51,,,"6. Make changes to a field
7. Click X button
8. Verify Discard Changes popup",X close with changes shows discard,"- SHOULD show Discard Changes popup with title ""Discard Changes?"" and text ""Are you sure you want to go? Changes have not been saved yet.""",High
52,,,"9. Click Cancel on Discard Changes popup
10. Verify returns to edit",discard cancel keeps editing,- SHOULD close Discard Changes popup and return to Edit popup,High
53,,,"9. Click Discard Changes button
10. Verify popups close",discard changes closes,- SHOULD close both popups without saving changes,High
54,,,"6. Edit TITLE or MESSAGE
7. Click Save button
8. Verify result",save success toast,"- SHOULD update saved response and display toast ""Saved Response updated successfully.""",High
55,,AC7: Delete a saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click 3-dot on a saved response
4. Click Delete response
5. Verify confirmation popup",confirmation popup,"- SHOULD display confirmation popup with title ""Delete Response?"" and text ""This response will be permanently deleted and can’t be recovered. Are you sure you want to proceed?""",High
56,,,"6. Click Cancel
7. Verify popup closes",cancel closes popup,- SHOULD close the confirmation popup without deleting,High
57,,,"6. Click OK
7. Verify result",OK deletes with toast,"- SHOULD delete the saved response and display toast ""Saved Response deleted.""",High
58,,AC8: Add saved response to chat box by selecting an item,"1. Login as Coach
2. Open Saved Responses modal
3. Click on title of a saved response
4. Verify chatbox",click title appends to chatbox,- SHOULD append the full message content into the chatbox behind current text,High
59,,,"3. Select a saved response
4. Press Enter
5. Verify chatbox",Enter key appends to chatbox,- SHOULD append the full message content into the chatbox behind current text,High
60,"US2: As a coach, I want to create a saved response from a message in the conversation","AC1: Add ""Save this response"" button to Coach's non-text message","1. Login as Coach on paid plan (Pro/Studio)
2. Open a conversation in Inbox
3. Hover over a Coach's non-text message
4. Verify Save this response button",button placement,- SHOULD display Save this response button between 3-dot and Reply buttons,High
61,,,"5. Hover over Save this response button
6. Verify tooltip",hover tooltip,"- SHOULD show tooltip ""Save this response""",High
62,,,"5. Click Save this response button
6. Verify popup",click shows add popup,- SHOULD display add new saved response popup,High
63,,,"1. Login as Coach on Free plan
2. Open a conversation in Inbox
3. Hover over a Coach's non-text message
4. Verify message action buttons",button hidden on Free plan,- SHOULD not display Save this response button on workspaces without Saved Response feature permission,High
64,,AC2: Add new saved response from the conversation,"1. Login as Coach on paid plan
2. Open a conversation
3. Hover over a Coach's non-text message
4. Click Save this response button
5. Verify popup",popup title,"- SHOULD display popup with title ""Add To Saved Responses""",High
65,,,,Title field blank,- SHOULD display Title field as blank,High
66,,,,Message field pre-populated,- SHOULD pre-populate the Coach's message into the Message field,High
67,,,"1. Login as Coach
2. Open conversation with Coach's message longer than 10,000 characters
3. Hover message
4. Click Save this response button
5. Verify Message field",long message truncation,"- SHOULD cut and fill the first 10,000 characters of the message into the field",Medium
68,,,"6. Fill TITLE field
7. Click Save button
8. Verify result",save success toast,"- SHOULD save the response and display toast ""Response has been saved""",High
