No.,US,AC,Step,Title,Expectation,Priority
36,,AC5: Add a new saved response,"1. Login as Coach
2. Open conversation
3. Open Saved Responses modal
4. Click Create New button
5. Verify popup",Create Saved Response popup shown,"- SHOULD display popup with title ""Create Saved Response""",High
37,,,"6. Click X button
7. Verify popup closes",X button closes popup,- SHOULD close the popup,Medium
38,,,"6. Hover info icon next to TITLE
7. Verify tooltip",TITLE field info tooltip,"- SHOULD show tooltip ""Used to organize responses. This won't appear in messages.""",Low
39,,,6. Verify TITLE field,TITLE field empty with placeholder,"- SHOULD display empty required field with placeholder ""Name this response for easy search""",Medium
40,,,"6. Input 140 characters in TITLE
7. Try to type more
8. Verify input blocked",TITLE max 140 characters,- SHOULD not allow input beyond 140 characters,Medium
41,,,"6. Paste text longer than 140 chars into TITLE
7. Verify truncation",TITLE paste truncation,- SHOULD paste only first 140 characters,Medium
42,,,6. Verify MESSAGE field,MESSAGE field empty with placeholder,"- SHOULD display empty required field with placeholder ""Write the full message you want to send to clients""",Medium
43,,,"6. Paste formatted text into MESSAGE
7. Verify formatting cleared",MESSAGE clear text-formatting,- SHOULD clear text-formatting when pasting formatted text,Medium
44,,,"6. Input 10,000 characters in MESSAGE
7. Try to type more
8. Verify input blocked","MESSAGE max 10,000 characters","- SHOULD not allow input beyond 10,000 characters",Medium
45,,,"6. Type in MESSAGE field
7. Verify counter",MESSAGE character counter,"- SHOULD display character count as ""{X}/10000""",Medium
46,,,"6. Paste text longer than 10,000 chars into MESSAGE
7. Verify truncation",MESSAGE paste truncation,"- SHOULD paste only first 10,000 characters",Medium
47,,,6. Verify Cancel button,Cancel button always enabled,- SHOULD always enable Cancel button,Medium
48,,,"6. Click Cancel button
7. Verify popup closes",Cancel closes popup,- SHOULD close the popup,Medium
49,,,6. Verify Save button,Save button disabled by default,- SHOULD disable Save button by default,Medium
50,,,"6. Input in both TITLE and MESSAGE
7. Verify Save button",Save enabled with both fields,- SHOULD enable Save button when both fields have input,High
51,,,"8. Click Save button
9. Verify response added",save success toast,"- SHOULD add response to list and show toast ""New Saved Response created.""",Critical
52,,AC6: Edit a saved response,"1. Login as Coach
2. Open conversation
3. Open Saved Responses modal
4. Click 3-dot on a response
5. Click Edit response
6. Verify popup",Edit Saved Response popup shown,"- SHOULD display popup with title ""Edit Saved Response""",High
53,,,7. Verify TITLE field,TITLE pre-populated,- SHOULD pre-populate TITLE field with existing value,High
54,,,"7. Click X button without changes
8. Verify popup closes",X close without changes,- SHOULD close the popup,Medium
55,,,"7. Edit TITLE or MESSAGE
8. Click X button
9. Verify discard popup",X close with changes shows discard,"- SHOULD show ""Discard Changes?"" popup with warning text",High
56,,,"10. Click Cancel or X on discard popup
11. Verify discard popup closes",discard popup Cancel/X closes,- SHOULD close discard popup and return to edit popup,Medium
57,,,"10. Click Discard Changes button
11. Verify edit popup closes",Discard Changes discards edits,- SHOULD close edit popup without saving changes,High
58,,,"7. Edit fields
8. Click Save button
9. Verify update",edit success toast,"- SHOULD show toast ""Saved Response updated successfully.""",High
59,,AC7: Delete a saved response,"1. Login as Coach
2. Open conversation
3. Open Saved Responses modal
4. Click 3-dot on a response
5. Click Delete response
6. Verify popup",delete confirmation popup shown,"- SHOULD display ""Delete Response?"" confirmation popup",High
60,,,"7. Click Cancel button
8. Verify popup closes",Cancel closes popup,- SHOULD close the popup,Medium
61,,,"7. Click OK button
8. Verify deletion",OK deletes and shows toast,"- SHOULD delete response and show toast ""Saved Response deleted.""",Critical
62,,AC8: Add saved response to chat box,"1. Login as Coach
2. Open conversation
3. Open Saved Responses modal
4. Click on title of a saved response
5. Verify chatbox",click title appends to chatbox,- SHOULD append full message content into chatbox behind current text,Critical
63,,,"4. Select a saved response
5. Press Enter
6. Verify chatbox",Enter appends to chatbox,- SHOULD append full message content into chatbox behind current text,High
64,US2: Create saved response from conversation message,AC1: Save this response button on Coach's non-text message,"1. Login as Coach
2. Open conversation
3. Hover over Coach's non-text message
4. Verify button",button between 3-dot and Reply,- SHOULD display Save this response button between 3-dot and Reply buttons,High
65,,,"4. Hover over Save this response button
5. Verify tooltip",hover tooltip,"- SHOULD show tooltip ""Save this response""",Medium
66,,,"4. Click Save this response button
5. Verify popup",click shows add popup,- SHOULD show add new saved response popup,High
67,,,"1. Login as Coach in workspace without Saved Response feature
2. Open conversation
3. Hover over Coach's non-text message
4. Verify button absent",button only on paid plans,- SHOULD not show Save this response button on unpaid plans,High
68,,AC2: Add new saved response from conversation,"1. Login as Coach
2. Open conversation
3. Hover Coach's non-text message
4. Click Save this response
5. Verify popup",popup title Add To Saved Responses,"- SHOULD display popup with title ""Add To Saved Responses""",High
69,,,6. Verify Title field,Title field blank,- SHOULD leave Title field blank,Medium
70,,,6. Verify Message field,Message pre-populated,- SHOULD pre-populate Message field with Coach's message content,High
71,,,"3. Hover Coach's message over 10,000 chars
4. Click Save this response
5. Verify Message field","Message over 10,000 chars truncated","- SHOULD fill first 10,000 characters of the message",Medium
72,,,"6. Input Title
7. Click Save button
8. Verify save",save toast from conversation,"- SHOULD show toast ""Response has been saved""",High
