No.,US,AC,Step,Title,Expectation,Priority
26,,,"11. Click X button
12. Verify modal closes",X button closes modal,- SHOULD close the modal when clicking X button,High
27,,,"11. Press Esc key
12. Verify modal closes",Esc key closes modal,- SHOULD close the modal when pressing Esc key,Medium
28,,AC3: Search box behaviors,"1. Login as Coach
2. Navigate to Inbox conversation
3. Open Saved Responses popup
4. Verify Search box",empty by default with placeholder,- SHOULD display empty Search box with placeholder Search saved response,Medium
29,,,"5. Focus on Search box
6. Verify placeholder changes",placeholder changes to Enter keyword...,- SHOULD change placeholder to Enter keyword... when focused,Low
30,,,"5. Input text
6. Verify x icon",x icon displayed when inputting,- SHOULD display x icon when inputting text,Medium
31,,,"7. Press Backspace
8. Verify text removed",Backspace removes text,- SHOULD remove text when pressing Backspace,Medium
32,,,"7. Click x icon
8. Verify text removed and full list shown",x icon removes text and shows full list,- SHOULD remove search input and show back the full list when clicking x icon,Medium
33,,,"5. Input 1 character
6. Verify search starts",search starts from 1 char,- SHOULD start searching from 1 character,Medium
34,,,"5. Input keyword matching title or message
6. Verify search results",search based on title and message,- SHOULD return all saved responses where either title or message field contains the search keyword,High
35,,,,case-insensitive and partial matching,"- SHOULD match case-insensitive and partial, validating if keyword appears anywhere within either field",Medium
36,,,"5. Input keyword with no match
6. Verify no results message",Search results (0) when no match,- SHOULD show Search results (0) below Search box when no results found,Medium
37,,,"5. Input keyword with matches
6. Verify results count",Search results count displayed,- SHOULD show Search results ({number_of_matched_results}) below Search box when matching results found,Medium
38,,,,results list displayed same as AC2,- SHOULD show list of results same as AC2,High
39,,,7. Verify default selection,first result selected by default,- SHOULD select the first result to view by default,Medium
40,,,7. Verify pagination in search results,search results load 20 items,- SHOULD load every 20 items in search results,Medium
41,,,"8. Scroll down in search results
9. Verify Load more",Load more in search results,- SHOULD display Load more and get next 20 items when user scrolls down in search results,Medium
42,,AC4: 3-dot button behaviors,"1. Login as Coach
2. Navigate to Inbox conversation
3. Open Saved Responses popup
4. Hover over a saved response item
5. Click 3-dot button
6. Verify submenu",submenu with Edit and Delete options,- SHOULD show submenu containing Edit response and Delete response options,High
43,,AC5: Add a new saved response,"1. Login as Coach
2. Navigate to Inbox conversation
3. Open Saved Responses popup
4. Click Create new button
5. Verify popup",Create Saved Response popup displayed,- SHOULD display Create Saved Response popup,High
44,,,,popup title Create Saved Response,- SHOULD show popup title Create Saved Response,Medium
45,,,,X button in popup,- SHOULD display X button in popup,Medium
46,,,,TITLE field displayed,- SHOULD display TITLE field,High
47,,,,info icon next to TITLE field,- SHOULD display info icon next to TITLE field title,Low
48,,,"6. Hover over info icon
7. Verify tooltip",tooltip on info icon hover,- SHOULD show tooltip Used to organize responses. This wonʼt appear in messages..,Low
49,,,6. Verify TITLE field default state,TITLE field empty with placeholder,- SHOULD show TITLE field empty by default with placeholder Name this response for easy search,Medium
50,,,"6. Input all character types in TITLE
7. Verify input accepted",TITLE allows all characters,- SHOULD allow all characters in TITLE field,Medium
51,,,"6. Input 140 characters in TITLE
7. Attempt to input more
8. Verify max limit",TITLE max 140 characters,- SHOULD prevent input beyond 140 characters in TITLE field,Medium
52,,,"6. Paste text over 140 characters in TITLE
7. Verify truncation",TITLE truncates paste to 140 characters,- SHOULD cut off and paste the first 140 characters when pasting text over 140 characters in TITLE field,Medium
53,,,6. Verify MESSAGE field displayed,MESSAGE field displayed,- SHOULD display MESSAGE field,High
54,,,,MESSAGE field empty with placeholder,- SHOULD show MESSAGE field empty by default with placeholder Write the full message you want to send to clilents,Medium
55,,,"6. Input any characters in MESSAGE
7. Verify input accepted",MESSAGE allows any characters,- SHOULD allow input of any characters in MESSAGE field,Medium
56,,,"6. Attempt text formatting in MESSAGE
7. Verify not allowed",MESSAGE does not allow text-formatting,- SHOULD not allow text-formatting in MESSAGE field,Medium
57,,,"6. Paste formatted text paragraph in MESSAGE
7. Verify formatting cleared",MESSAGE clears text-formatting on paste,- SHOULD clear text-formatting when pasting a text paragraph in MESSAGE field,Medium
58,,,"6. Input characters in MESSAGE
7. Verify character count",MESSAGE character count displayed,- SHOULD show character count as {X}/10000 where X is total number of characters,Medium
59,,,"6. Input 10,000 characters in MESSAGE
7. Attempt to input more
8. Verify max limit","MESSAGE max 10,000 characters","- SHOULD prevent input beyond 10,000 characters in MESSAGE field",Medium
60,,,"6. Paste text over 10,000 characters in MESSAGE
7. Verify truncation","MESSAGE truncates paste to 10,000 characters","- SHOULD cut off and paste the first 10,000 characters when pasting text over 10,000 characters in MESSAGE field",Medium
61,,,6. Verify Cancel button,Cancel button always enabled,- SHOULD show Cancel button always enabled,Medium
62,,,6. Verify Save button default state,Save button disabled by default,- SHOULD show Save button disabled by default,Medium
63,,,"6. Input text in both TITLE and MESSAGE
7. Verify Save button enabled",Save button enabled with both fields filled,- SHOULD enable Save button if having input in both TITLE and MESSAGE fields,High
64,,,"8. Click X button
9. Verify popup closes",X button closes popup,- SHOULD close the popup when clicking X button,High
65,,,"8. Click Cancel button
9. Verify popup closes",Cancel button closes popup,- SHOULD close the popup when clicking Cancel button,High
66,,,"8. Click Save button
9. Verify saved response added and toast shown",Save button adds response and shows toast,- SHOULD add a new saved response to the list and display toast New Saved Response created.,Critical
67,,AC6: Edit a saved response,"1. Login as Coach
2. Navigate to Inbox conversation
3. Open Saved Responses popup
4. Hover over a saved response item
5. Click 3-dot button
6. Click Edit response
7. Verify popup",Edit Saved Response popup displayed,- SHOULD display Edit Saved Response popup,High
68,,,,popup title Edit Saved Response,- SHOULD show popup title Edit Saved Response,Medium
69,,,,X button in popup,- SHOULD display X button in popup,Medium
70,,,8. Verify TITLE field pre-populated,TITLE field pre-populated with shortcut,- SHOULD pre-populate TITLE field with the shortcut,High
71,,,"8. Click X button without changes
9. Verify popup closes",X button closes popup when no changes,- SHOULD close the popup when clicking X button if user has made no changes,Medium
72,,,"8. Make changes in TITLE or MESSAGE
9. Click X button
10. Verify Discard changes popup",Discard changes popup shown when changes exist,- SHOULD show Discard Changes? popup when clicking X button if user has made at least 1 change,High
73,,,,Discard changes popup title and text,- SHOULD show popup title Discard Changes? and text Are you sure you want to go? Changes have not been saved yet.,Medium
74,,,"11. Click Cancel in Discard changes popup
12. Verify popup closes",Cancel closes Discard changes popup,- SHOULD close the Discard changes popup when clicking Cancel button,Medium
75,,,"11. Click X icon in Discard changes popup
12. Verify popup closes",X icon closes Discard changes popup,- SHOULD close the Discard changes popup when clicking X icon,Medium
76,,,"11. Click Discard Changes button
12. Verify both popups close without saving",Discard Changes discards and closes,- SHOULD close the Discard changes popup and back to the previous page without saving changes when clicking Discard Changes button,High
77,,,"8. Edit TITLE or MESSAGE
9. Click Save button
10. Verify update and toast",Save updates response and shows toast,- SHOULD update saved response and display toast Saved Response updated successfully.,Critical
78,,AC7: Delete a saved response,"1. Login as Coach
2. Navigate to Inbox conversation
3. Open Saved Responses popup
4. Hover over a saved response item
5. Click 3-dot button
6. Click Delete response
7. Verify confirmation popup",Delete confirmation popup displayed,- SHOULD display confirmation popup with title Delete Response?,High
79,,,,confirmation popup text,- SHOULD show text This response will be permanently deleted and canʼt be recovered. Are you sure you want to proceed?,Medium
80,,,,Cancel button in confirmation popup,- SHOULD display Cancel button,Medium
81,,,,OK button in confirmation popup,- SHOULD display OK button,Medium
82,,,"8. Click Cancel button
9. Verify popup closes",Cancel button closes popup,- SHOULD close the popup when clicking Cancel button,Medium
83,,,"8. Click OK button
9. Verify response deleted and toast shown",OK button deletes response and shows toast,"- SHOULD close the popup, delete the response, and display toast Saved Response deleted.",Critical
84,,AC8: Add saved response to chat box by selecting an item in Saved Response popup,"1. Login as Coach
2. Navigate to Inbox conversation
3. Open Saved Responses popup
4. Click on title of a saved response item
5. Verify chatbox",message appended to chatbox on title click,"- SHOULD append the full message content into the chatbox, placing it behind the current text if any",Critical
85,,,"4. Select a saved response item
5. Press Enter key
6. Verify chatbox",message appended to chatbox on Enter,- SHOULD append the full message content into the chatbox when pressing Enter,High
86,"US2: As a coach who frequently messages clients, I want to create a saved response from a message in the conversation, so that I add a new saved response quicker",AC1: Add Save this response button to Coach's non-text message,"1. Login as Coach
2. Navigate to Inbox conversation with existing Coach messages
3. Hover over a non-text message of the Coach
4. Verify button",Save this response button between 3-dot and Reply,- SHOULD display Save this response button between 3-dot and Reply buttons for Coach's non-text message,High
87,,,"5. Hover over Save this response button
6. Verify tooltip",tooltip Saved this response,- SHOULD show tooltip Saved this response when hovering the button,Low
88,,,5. Verify button visibility condition,button shown only on paid-plan workspaces,"- SHOULD show Save this response button only if workspace is in paid-plan including Saved Response feature (Pro, Studio plan)",High
89,,AC2: Add new saved response from the conversation,"1. Login as Coach
2. Navigate to Inbox conversation with existing Coach messages
3. Hover over a non-text message of the Coach
4. Click Save this response button
5. Verify popup",Add To Saved Responses popup displayed,- SHOULD display popup with title Add To Saved Responses,High
90,,,,TITLE field blank,- SHOULD leave TITLE field blank,Medium
91,,,,MESSAGE field pre-populated with Coach's message,- SHOULD pre-populate the MESSAGE field with Coach's message,High
92,,,6. Verify MESSAGE truncation for long messages,"MESSAGE truncates to 10,000 characters","- SHOULD cut the first 10,000 characters of the message to be filled in MESSAGE field if Coach's message is over 10,000 characters",Medium
93,,,"6. Fill in TITLE field
7. Click Save button
8. Verify response saved and toast shown",Save adds response and shows toast,- SHOULD add that message as a new saved response and show toast Response has been saved,Critical
