No.,US,AC,Step,Title,Expectation,Priority
37,,,"4. Hover over info icon next to TITLE label
5. Verify tooltip",Title field info tooltip,"- SHOULD show tooltip ""Used to organize responses. This won’t appear in messages.""",Medium
38,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Input 140 characters in TITLE field
4. Try to input more characters
5. Verify TITLE field",Title field max 140 chars,- SHOULD not allow input beyond 140 characters,High
39,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Paste text longer than 140 chars in TITLE field
4. Verify TITLE field",Title field paste truncation,- SHOULD cut off and paste only the first 140 characters,Medium
40,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Verify MESSAGE field",Message field default state,"- SHOULD display required empty MESSAGE field with placeholder ""Write the full message you want to send to clients""",High
41,,,,Message field character counter,"- SHOULD display character count as ""{X}/10000""",High
42,,,,Message field no text formatting,- SHOULD not allow text-formatting and clear formatting on paste,Medium
43,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Input 10000 characters in MESSAGE field
4. Try to input more characters
5. Verify MESSAGE field",Message field max 10000 chars,"- SHOULD not allow input beyond 10,000 characters",High
44,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Paste text longer than 10000 chars in MESSAGE field
4. Verify MESSAGE field",Message field paste truncation,"- SHOULD cut off and paste only the first 10,000 characters",Medium
45,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Verify Cancel button",Cancel button always enabled,- SHOULD display Cancel button as always enabled,High
46,,,"4. Click Cancel button
5. Verify popup closes",Cancel button closes popup,- SHOULD close the Create Saved Response popup,High
47,,,"1. Login as Coach
2. Open Create Saved Response popup
3. Verify Save button",Save button disabled by default,- SHOULD display Save button as disabled when fields are empty,High
48,,,"4. Input text in both TITLE and MESSAGE fields
5. Verify Save button",Save button enabled when filled,- SHOULD enable Save button when both TITLE and MESSAGE fields have input,High
49,,,"6. Click Save button
7. Verify save result",save success toast,"- SHOULD add new saved response and display toast ""New Saved Response created.""",High
50,,AC6: Edit a saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click 3-dot on a saved response
4. Click Edit response
5. Verify Edit Saved Response popup",popup shown with pre-populated data,"- SHOULD display Edit Saved Response popup with title ""Edit Saved Response"" and pre-populated TITLE and MESSAGE fields",High
51,,,"6. Click X button without making changes
7. Verify popup closes",X close without changes,- SHOULD close the Edit Saved Response popup,High
52,,,"6. Make changes to a field
7. Click X button
8. Verify Discard Changes popup",X close with changes shows discard popup,"- SHOULD show Discard Changes popup with title ""Discard Changes?"" and text ""Are you sure you want to go? Changes have not been saved yet.""",High
53,,,"9. Click Cancel on Discard Changes popup
10. Verify returns to edit",discard popup - cancel keeps editing,- SHOULD close Discard Changes popup and return to Edit popup,High
54,,,"9. Click Discard Changes button
10. Verify popups close",discard popup - discard changes,- SHOULD close both popups without saving changes,High
55,,,"6. Edit TITLE or MESSAGE
7. Click Save button
8. Verify save result",save success toast,"- SHOULD update saved response and display toast ""Saved Response updated successfully.""",High
56,,AC7: Delete a saved response,"1. Login as Coach
2. Open Saved Responses modal
3. Click 3-dot on a saved response
4. Click Delete response
5. Verify confirmation popup",confirmation popup,"- SHOULD display confirmation popup with title ""Delete Response?"" and text ""This response will be permanently deleted and can’t be recovered. Are you sure you want to proceed?""",High
57,,,"6. Click Cancel
7. Verify popup closes",cancel closes popup,- SHOULD close the confirmation popup without deleting,High
58,,,"6. Click OK
7. Verify delete result",OK deletes with toast,"- SHOULD delete the saved response and display toast ""Saved Response deleted.""",High
59,,AC8: Add saved response to chat box by selecting an item,"1. Login as Coach
2. Open Saved Responses modal
3. Click on title of a saved response
4. Verify chatbox",click title appends to chatbox,- SHOULD append the full message content into the chatbox behind current text,High
60,,,"1. Login as Coach
2. Open Saved Responses modal
3. Select a saved response
4. Press Enter
5. Verify chatbox",Enter key appends to chatbox,- SHOULD append the full message content into the chatbox behind current text,High
61,"US2: As a coach, I want to create a saved response from a message in the conversation","AC1: Add ""Save this response"" button to Coach's non-text message","1. Login as Coach on paid plan (Pro/Studio)
2. Open a conversation in Inbox
3. Hover over a Coach's non-text message
4. Verify Save this response button",button placement,- SHOULD display Save this response button between 3-dot and Reply buttons,High
62,,,"5. Hover over Save this response button
6. Verify tooltip",hover tooltip,"- SHOULD show tooltip ""Save this response""",High
63,,,"5. Click Save this response button
6. Verify popup",click shows add popup,- SHOULD display add new saved response popup,High
64,,,"1. Login as Coach on Free plan
2. Open a conversation in Inbox
3. Hover over a Coach's non-text message
4. Verify message action buttons",button hidden on Free plan,- SHOULD not display Save this response button on workspaces without Saved Response feature permission,High
65,,AC2: Add new saved response from the conversation,"1. Login as Coach on paid plan
2. Open a conversation
3. Hover over a Coach's non-text message
4. Click Save this response button
5. Verify popup",popup title,"- SHOULD display popup with title ""Add To Saved Responses""",High
66,,,,Title field blank,- SHOULD display Title field as blank,High
67,,,,Message field pre-populated,- SHOULD pre-populate the Coach's message into the Message field,High
68,,,"1. Login as Coach
2. Open a conversation
3. Hover over a Coach's message longer than 10,000 characters
4. Click Save this response button
5. Verify Message field",long message truncation,"- SHOULD cut and fill the first 10,000 characters of the message into the field",Medium
69,,,"1. Login as Coach
2. Open Add To Saved Responses popup from conversation
3. Fill TITLE field
4. Click Save button
5. Verify save result",save success toast,"- SHOULD save the response and display toast ""Response has been saved""",High
