No.,US,AC,Step,Title,Expectation,Priority
32,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Enter 10,000 characters in MESSAGE field
5. Try to enter one more character","Create Saved Response popup - MESSAGE max 10,000 chars","- SHOULD limit MESSAGE to 10,000 characters",Medium
33,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Enter text in MESSAGE field",Create Saved Response popup - MESSAGE char count display,"- SHOULD show count display ""{X}/10000""",Medium
34,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Try to apply text formatting in MESSAGE field",Create Saved Response popup - MESSAGE no text-formatting,- SHOULD not allow text formatting in MESSAGE field,Medium
35,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button",Create Saved Response popup - Cancel button,- SHOULD keep Cancel button always enabled,Low
36,,,,Create Saved Response popup - Save button disabled by default,- SHOULD disable Save button by default,High
37,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Enter TITLE and MESSAGE",Create Saved Response popup - Save button enabled,- SHOULD enable Save button when both fields have input,High
38,,,"1. Login as Coach in Pro plan workspace
2. Open Saved Response popup
3. Click ""Create new"" button
4. Enter TITLE and MESSAGE
5. Click Save",Create Saved Response popup - success toast,"- SHOULD show toast ""New Saved Response created.""",High
39,,"AC6: Edit a saved response (Edit Saved Response popup, X button with discard changes confirmation if changes made, pre-populate fields, same field behaviors as AC5, toast ""Saved Response updated successfully."")","1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Click 3-dot on a saved response
4. Click ""Edit response""",Edit Saved Response popup - X button no changes,- SHOULD close popup without confirmation when no changes made,Medium
40,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Click 3-dot on a saved response
4. Click ""Edit response""
5. Make changes to TITLE or MESSAGE
6. Click X button",Edit Saved Response popup - X button with changes,- SHOULD show discard changes confirmation when changes made,High
41,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Click 3-dot on a saved response
4. Click ""Edit response""",Edit Saved Response popup - pre-populate fields,- SHOULD pre-populate TITLE and MESSAGE fields with existing data,High
42,,,,Edit Saved Response popup - TITLE field behaviors,- SHOULD apply same TITLE field behaviors as AC5,High
43,,,,Edit Saved Response popup - MESSAGE field behaviors,- SHOULD apply same MESSAGE field behaviors as AC5,High
44,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Click 3-dot on a saved response
4. Click ""Edit response""
5. Make changes
6. Click Save",Edit Saved Response popup - success toast,"- SHOULD show toast ""Saved Response updated successfully.""",High
45,,"AC7: Delete a saved response (confirmation popup ""Delete Response?"" with warning text, Cancel and OK buttons, toast ""Saved Response deleted."")","1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Click 3-dot on a saved response
4. Click ""Delete response""",Delete confirmation popup - title,"- SHOULD show popup title ""Delete Response?""",High
46,,,,Delete confirmation popup - warning text,- SHOULD show warning text,Medium
47,,,,Delete confirmation popup - Cancel and OK buttons,- SHOULD show Cancel and OK buttons,High
48,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open Saved Response popup
3. Click 3-dot on a saved response
4. Click ""Delete response""
5. Click OK",Delete confirmation popup - success toast,"- SHOULD show toast ""Saved Response deleted.""",High
49,,AC8: Add saved response to chat box by selecting item (click title or hit ENTER appends message content behind current text in chatbox),"1. Login as Coach in Pro plan workspace with saved responses
2. Open chat editor and enter some text
3. Open Saved Response popup
4. Click on a saved response title",Insert saved response - click title,- SHOULD append message content behind current text in chatbox,High
50,,,"1. Login as Coach in Pro plan workspace with saved responses
2. Open chat editor and enter some text
3. Open Saved Response popup
4. Select a saved response
5. Press ENTER key",Insert saved response - ENTER key,- SHOULD append message content behind current text in chatbox,High
51,"US2: As a coach, I want to create a saved response from a conversation message.","AC1: Add ""Save this response"" button to Coach's non-text message (button between 3-dot and Reply, tooltip ""Saved this response"", only on hovering, only for paid-plan workspaces with Saved Response feature - Pro, Studio plan)","1. Login as Coach in Pro plan workspace
2. Navigate to a conversation with coach's message
3. Hover over a coach's message",Pro plan - Save this response button display,"- SHOULD show ""Save this response"" button between 3-dot and Reply on hover",High
52,,,,Pro plan - Save this response button tooltip,"- SHOULD show tooltip ""Saved this response""",Medium
53,,,"1. Login as Coach in Studio plan workspace
2. Navigate to a conversation with coach's message
3. Hover over a coach's message",Studio plan - Save this response button display,"- SHOULD show ""Save this response"" button between 3-dot and Reply on hover",High
54,,,,Studio plan - Save this response button tooltip,"- SHOULD show tooltip ""Saved this response""",Medium
55,,,"1. Login as Coach in Free plan workspace
2. Navigate to a conversation with coach's message
3. Hover over a coach's message",Free plan - Save this response button hidden,"- SHOULD not show ""Save this response"" button",High
56,,"AC2: Add new saved response from the conversation (popup title ""Add To Saved Responses"", Title blank, Message pre-populated with coach's message, if over 10,000 chars cut first 10,000, toast ""Response has been saved"")","1. Login as Coach in Pro plan workspace
2. Navigate to a conversation with coach's message
3. Hover over a coach's message
4. Click ""Save this response"" button",Add To Saved Responses popup - title,"- SHOULD show popup title ""Add To Saved Responses""",High
57,,,,Add To Saved Responses popup - Title field blank,- SHOULD leave Title field blank,High
58,,,,Add To Saved Responses popup - Message pre-populated,- SHOULD pre-populate Message field with coach's message,High
59,,,"1. Login as Coach in Pro plan workspace
2. Navigate to a conversation with coach's message over 10,000 chars
3. Hover over the message
4. Click ""Save this response"" button","Add To Saved Responses popup - Message over 10,000 chars","- SHOULD cut Message to first 10,000 characters",Medium
60,,,"1. Login as Coach in Pro plan workspace
2. Navigate to a conversation with coach's message
3. Hover over a coach's message
4. Click ""Save this response"" button
5. Enter Title
6. Click Save",Add To Saved Responses popup - success toast,"- SHOULD show toast ""Response has been saved""",High
