ID,Test Scenarios,Items for Pivot Table,Step,Test Data,Expected
US10-23,Book validation — required fields empty on submit,US10 / AC3,"1. Open ""Book a session"" popup.
2. Leave all required fields empty (Client, Start Date, Start Time, Name, Duration, Location).
3. Click ""Book Session"".
4. Verify validation.","All required fields empty.","- System highlights each empty required field.
- Inline error message displayed for each missing required field.
- Session is NOT created."
US10-24,Successful booking — no overlap; future session; calendar navigation,US10 / AC3,"1. Open ""Book a session"" popup.
2. Fill in all required fields with a future date/time (no overlapping session).
3. Click ""Book Session"".
4. Verify outcome.","All required fields filled.
Session end time is in the future (>= current time).
No existing session overlaps with the new session's time slot.","- Popup closes.
- Toast message displays: ""The session has been added"" / ""Session has been scheduled."".
- New session is visible on the calendar, positioned at the correct start time.
- Calendar navigates to the week/date containing the new session if it is outside the current view."
US10-25,Book with overlap — Overlap confirmation popup and Book Anyway,US10 / AC3,"1. Create an existing future session (e.g., 10:00–11:00 AM today).
2. Open ""Book a session"" popup; fill fields with overlapping time (e.g., 10:30–11:30 AM today).
3. Click ""Book Session"".
4. Verify Overlap popup.
5. Click ""Book Anyway"".
6. Verify outcome.","Existing future session: 10:00–11:00 AM today.
New session: 10:30 AM, 60 min duration, same trainer.","- ""Session Overlap"" confirmation popup appears.
- Description: ""You already have another session during this time. Are you sure you want to book this session anyway?""
- Buttons: ""Cancel"" (unfocused), ""Book Anyway"" (focused).
- Clicking ""Book Anyway"" saves the session (same as no-overlap flow: popup closes, toast shown, session on calendar)."
US10-26,Book with overlap — Cancel returns to Book popup with data intact,US10 / AC3,"1. Open ""Book a session"" popup; create an overlap scenario.
2. Click ""Book Session""; verify Overlap popup appears.
3. Click ""Cancel"" on the Overlap popup.
4. Verify state.","Overlapping future session exists.","- Overlap confirmation popup closes.
- ""Book a session"" popup is displayed again.
- All previously entered data (client, date, time, etc.) is preserved."
US10-27,Book with overlap — X icon on Overlap popup returns to Book popup,US10 / AC3,"1. Open ""Book a session"" popup; create an overlap scenario.
2. Click ""Book Session""; Overlap popup appears.
3. Click the ""x"" icon on the Overlap popup.
4. Verify state.","Overlapping future session exists.","- Overlap popup closes.
- ""Book a session"" popup is displayed with all data intact."
US10-28,Book past-date session — Past date confirmation popup and Book Anyway,US10 / AC3,"1. Open ""Book a session"" popup.
2. Fill in a date and time that is entirely in the past (end time < current time).
3. Click ""Book Session"".
4. Verify confirmation popup.
5. Click ""Book Anyway"".
6. Verify outcome.","Past date: session fully in the past (e.g., yesterday, 10:00–11:00 AM).","- Overlap check is NOT performed.
- ""Session Date Is In the Past"" popup appears.
- Message: ""You selected a Date and time that is in the past. This session will be saved as Completed. No client communication will be sent. Are you sure you want to book this session anyway?""
- Buttons: ""Cancel"", ""Book Anyway"" (focused).
- Clicking ""Book Anyway"" saves the session; popup closes; toast shown; session appears on calendar."
US10-29,Book past-date session — Cancel and X icon return to Book popup,US10 / AC3,"1. Open ""Book a session"" popup; set a past date/time.
2. Click ""Book Session""; Past date popup appears.
3. Click ""Cancel"" on the Past date popup.
4. Verify state.
5. Repeat with the ""x"" icon.","Past date/time set.","- Past date popup closes.
- ""Book a session"" popup is displayed with all data intact.
- X icon produces the same result."
US10-30,Book failure — popup stays open with data persisted,US10 / AC3,"1. Open ""Book a session"" popup.
2. Fill all required fields; simulate API failure (e.g., disable network).
3. Click ""Book Session"".
4. Verify error handling.","API returns error response.","- ""Book a session"" popup remains open.
- All entered data is preserved.
- ""Book Session"" CTA remains enabled.
- Toast error message: ""Failed to add a session. Please try again""."
US10-31,Cancel — no changes: popup closes immediately,US10 / AC4,"1. Open ""Book a session"" popup.
2. Do not modify any field.
3. Click ""Cancel"" button.
4. Verify behavior.","No data entered in any field.","- Popup closes without any confirmation prompt."
US10-32,Cancel — with unsaved changes: Discard confirmation and Stay,US10 / AC4,"1. Open ""Book a session"" popup.
2. Enter data in at least one field.
3. Click ""Cancel"".
4. On the discard confirmation, click ""Stay"".
5. Verify popup state.
6. Click ""Cancel"" again; click ""Discard"".
7. Verify popup closes.","Data entered in one or more fields.","- Discard confirmation prompt appears when Cancel is clicked with unsaved data.
- Clicking ""Stay"" dismisses the confirmation and returns to Book Session popup with data intact.
- Clicking ""Discard"" closes the popup and discards all entered data."
US10-33,Close via X icon — no changes and with unsaved changes,US10 / AC4,"1. Open ""Book a session"" popup without entering data; click ""x"" icon.
2. Verify behavior.
3. Reopen popup; enter data; click ""x"" icon.
4. Verify discard confirmation.","First attempt: no data. Second attempt: data entered.","- With no changes: popup closes immediately.
- With unsaved changes: discard confirmation appears (same flow as Cancel button)."
,US11. As a coach I can view the sessions on my calendar,,,,
US11-1,Entry point — calendar displays all sessions in current view,US11 / AC1,"1. Navigate to the Calendar page with Booking feature enabled.
2. Verify calendar is displayed.","Booking feature enabled.
Sessions exist in the current date range.","- Calendar page loads and displays the calendar view.
- All sessions associated with the Workspace are rendered according to the selected view (Day / Week / Month)."
US11-2,Empty state — no sessions in selected date range,US11 / AC2,"1. Navigate to the Calendar page.
2. Navigate to a date range with no sessions.
3. Verify calendar display.","No sessions exist in the selected date range.","- Calendar grid is displayed empty (no session cards or popovers).
- Calendar navigation (prev/next) and view switching (Day/Week/Month) remain functional."
US11-3,Day view — session block height for sessions ≤15 min and >15 min tiers,US11 / AC3,"1. Navigate to Calendar page in Day view.
2. Create sessions of: 15 min, 20 min, 30 min, 45 min, 50 min, 60 min, 90 min.
3. Verify block heights and content display for each.","Sessions created: 15 min, 20 min, 30 min, 45 min, 50 min, 60 min, 90 min.","- 15-min session: block height = 1/4 of 1-hour slot (fixed); info in 1 line (client name, start time, session name).
- 20-min and 30-min and 45-min sessions: height = duration/60; info in 1 line.
- 50-min session (>45 min, <60 min): info in 2 lines — Line 1: client name + start time; Line 2: session name.
- 60-min and 90-min sessions (>=60 min): info in 3 lines — Line 1: client name; Line 2: start–end time; Line 3: session name.
- Each session starts exactly at its corresponding time slot on the grid."
US11-4,Day view — time display format for start/end time same vs different am/pm,US11 / AC3,"1. Navigate to Calendar in Day view.
2. Open a session block where start time and end time share the same am/pm (e.g., 10:00 AM–11:00 AM).
3. Verify time display.
4. Open a session block where start and end time differ in am/pm (e.g., 11:30 AM–12:30 PM).
5. Verify time display.","Sessions with >=60 min duration (3-line display).
Session A: 10:00–11:00 AM.
Session B: 11:30 AM–12:30 PM.","- Same am/pm: Line 2 displays ""10:00 AM – 11:00 AM"" (am/pm shown on both).
- Different am/pm: Line 2 displays ""11:30 AM – 12:30 PM"" (only end time shows PM)."
US11-5,Day view — session color by type vs custom; past vs upcoming color distinction,US11 / AC3,"1. Navigate to Calendar in Day view.
2. Verify color of a session tied to a session type.
3. Verify color of a custom session.
4. Compare colors of a past session vs an upcoming/ongoing session.","One session tied to a session type.
One custom session.
One session in the past (end_time < current_time).
One upcoming session (end_time >= current_time).","- Session tied to a session type uses the session type's color.
- Custom session uses the color selected during creation.
- Past and upcoming/ongoing sessions are visually distinguished (different color treatment) in both default, hover, and selected states."
US11-6,Day view — overlapping sessions horizontal stacking and sorting,US11 / AC3,"1. Navigate to Calendar in Day view.
2. Create sessions: A (start 9:00 AM, 60 min, older), B (start 9:00 AM, 30 min, newer), C (start 9:30 AM, 60 min).
3. Verify layout.","Sessions A (9:00–10:00 AM, older), B (9:00–9:30 AM, newer), C (9:30–10:30 AM).","- All overlapping sessions are displayed side by side (horizontally stacked).
- Sorting: same start time → sorted by duration descending (A before B); C positioned to the right of the time-overlapping sessions.
- Vacant slots shift sessions to the left side.
- Width of each session block is reduced proportionally to fit the horizontal space."
US11-7,Day view — canceled sessions visual indicators,US11 / AC3,"1. Navigate to Calendar in Day view.
2. Locate an Early Canceled session.
3. Verify its display.
4. Locate a Late Canceled session.
5. Verify its display.","One Early Canceled session and one Late Canceled session visible in the current date range.","- Early Canceled session: displayed with dashed border/line; client name has strikethrough.
- Late Canceled session: displayed with dashed border/line + ""i"" icon; client name has strikethrough."
US11-8,Week view — sessions across 7 days; overlapping stacking; multi-day sessions,US11 / AC3,"1. Navigate to Calendar in Week view.
2. Verify sessions across different day columns.
3. Create two overlapping sessions on the same day; verify stacking.
4. Create a session spanning 11:00 PM on one day to 1:00 AM the next day; verify cross-day display.","Sessions exist across multiple days.
Two overlapping sessions on same day.
Cross-day session: 11:00 PM Day 1 to 1:00 AM Day 2.","- Sessions displayed across 7 day columns.
- Session color: same rules as Day view.
- Overlapping sessions within same time range are stacked horizontally; sorted by start time ascending.
- Cross-day session displays on Day 1 from 11:00 PM to midnight and on Day 2 from midnight to 1:00 AM.
- Multi-day/all-day sessions displayed in the top section of the calendar area."
US11-9,Month view — session condensed display; "+N more" popover,US11 / AC3,"1. Navigate to Calendar in Month view.
2. Verify sessions within date cells.
3. Find a date with more sessions than can be displayed; click the ""+N more"" indicator.
4. Verify the popover.
5. Click a session in the popover; verify detail popup opens.
6. Click outside the popover; verify it closes.","Sessions exist across multiple dates.
One date has more sessions than visible in the cell.","- Each date cell shows condensed session items: start time + client name.
- Session color distinguishes past vs upcoming (same rules as Day view).
- ""+N more"" indicator shows the count of remaining hidden sessions.
- Clicking ""+N more"" opens a popover listing all sessions for that date (max height: 292px, scrollable).
- Sessions in popover sorted by start time ascending; same start time sorted by created time.
- Clicking a session in the popover opens its detail popup.
- Clicking outside the popover closes it."
US11-10,Month view — multi-day/all-day sessions span across days; popover expanded view,US11 / AC3,"1. Navigate to Calendar in Month view.
2. Create a multi-day session spanning 3 days.
3. Verify display on calendar.
4. Open the ""+N more"" popover on one of the days.
5. Verify popover content.","Multi-day session spanning 3 consecutive days.","- Multi-day session is displayed across all relevant days on the calendar grid.
- Collapsed count (e.g., ""9 more"") is shown on the calendar.
- Popover shows expanded list of sessions for that day."
US11-11,Session detail popover — full content for a standard session,US11 / AC4,"1. Navigate to Calendar page (any view).
2. Click on an existing session block.
3. Verify the session detail popover content.","Session with: status = Scheduled, start time and end time in same am/pm, address, location note, description, note to client defined.","- Session detail popover opens.
- Displays: session status (Scheduled), session name, client name, client avatar, date, start–end time (am/pm on both when same), duration, location type, address, location note, description, note to client, trainer name and avatar.
- Quick action icons shown: Edit (tooltip ""Edit session""), Delete (tooltip ""Cancel session""), X (no hover state)."
US11-12,Session detail popover — start/end time different am/pm and cross-day format,US11 / AC4,"1. Click on a session where start time and end time are NOT in the same day.
2. Verify time display in the popover.
3. Click on a session where start and end time differ in am/pm.
4. Verify time display.","Session A: start 11:30 PM Day 1, end 1:00 AM Day 2.
Session B: start 11:30 AM, end 12:30 PM.","- Cross-day session displays: "","" separator — ""<Date, end time>"" format.
- Different am/pm session: displays only am/pm for the end time."
US11-13,Session detail popover — long text wrapping for notes and description,US11 / AC4,"1. Click on a session that has a very long note and long description (e.g., 400+ characters each).
2. Verify popover layout.","Session with 400-character note to client and 400-character description.","- Long notes and description are displayed with text wrapping within the popover.
- No content is cut off abruptly without scroll/wrap.
- Popover layout remains intact."
US11-14,Session detail popover — optional fields absent,US11 / AC4,"1. Click on a custom session with no address, no location note, no description, no note to client.
2. Verify popover content.","Custom session: location type = Video, no address, no location note, no description, no note to client.","- Address, location note, description, and note to client fields are NOT displayed in the popover.
- All other required fields (status, session name, client, date, time, duration, location type, trainer) are present."
