ID,Test Scenarios,,Items for Pivot Table,Step,Test Data,Expected
US10-10,Enter Start Date with partial input (month only),,US10 / AC2,"1. Open Book Session modal
2. Click on Start Date field
3. Type ""May"" only
4. Verify picker shows May 1st hover","Modal open
Current year: 2026","- Field highlights ""May""
- Calendar picker hovers on May 1, 2026
- Picker remains open for further input"
US10-11,Enter Start Date with invalid month,,US10 / AC2,"1. Open Book Session modal
2. Click on Start Date field
3. Type ""Xyz 15, 2026""
4. Verify picker ignores invalid month","Modal open","- Invalid month value rejected
- Picker keeps previous valid hover state
- Field displays attempted input but won't apply"
US10-12,Select Start Date via calendar picker UI,,US10 / AC2,"1. Open Book Session modal
2. Click on Start Date field
3. Click on March 20 in calendar picker
4. Verify date is applied","Modal open
Calendar picker opens with today highlighted","- Date picker displays with current date highlighted
- Clicking Mar 20 applies it to Start Date field
- Picker closes
- Date supports past, present, future within valid range"
US10-13,Attempt to select date outside valid range,,US10 / AC2,"1. Open Book Session modal
2. Click on Start Date field
3. Navigate to date before WS creation date
4. Hover on out-of-range date
5. Verify stop icon appears","Modal open
WS created: Jan 1, 2025
Valid range: Jan 1, 2025 - Jan 1, 2027","- Out-of-range date shows stop icon on hover
- Date cannot be selected
- Picker enforces valid range"
US10-14,Enter Start Time via keyboard input (hh:mm AM/PM format),,US10 / AC2,"1. Open Book Session modal
2. Click on Start Time field
3. Type ""2:30 PM""
4. Press Enter
5. Verify time is applied","Modal open
Coach timezone: America/Chicago","- Field highlights (text selection)
- Input accepts: 2:30 PM format
- Time dropdown updates with matching slot highlighted
- Pressing Enter applies time
- Dropdown closes
- Coach timezone displayed"
US10-15,Enter Start Time with invalid format,,US10 / AC2,"1. Open Book Session modal
2. Click on Start Time field
3. Type ""25:00 AM""
4. Verify system rejects input","Modal open","- Invalid hours (25) rejected
- Field keeps previous valid value or empty
- Won't apply invalid format"
US10-16,Select Start Time via dropdown (15-minute increments),,US10 / AC2,"1. Open Book Session modal
2. Click on Start Time field
3. Click on ""9:45 AM"" in dropdown
4. Verify time is applied","Modal open
Time slots in 15-min increments: 7:00 AM, 7:15 AM, 7:30 AM, 7:45 AM, etc.","- Dropdown displays time slots in 15-minute increments
- Clicking 9:45 AM highlights it and applies to field
- Dropdown closes"
US10-17,Type Start Time matching dropdown option,,US10 / AC2,"1. Open Book Session modal
2. Click on Start Time field
3. Type ""3:15 PM""
4. Verify matching option highlights in dropdown","Modal open
Dropdown has 3:15 PM slot","- 3:15 PM option visually highlights (hover state)
- Pressing Enter applies it"
US10-18,Enter Session Name (required field),,US10 / AC2,"1. Open Book Session modal
2. Click on Name field
3. Type ""Initial Assessment""
4. Verify text is entered and stored","Modal open","- Name field accepts text input
- Entered text displays in field
- No length limits mentioned in Name field rules"
US10-19,Select Duration from dropdown (15-min, 30-min, 60-min options),,US10 / AC2,"1. Open Book Session modal
2. Click on Duration field
3. Select ""60 min"" from dropdown
4. Verify duration is applied","Modal open
Default duration: 30 min
Available: 15 min, 30 min, 45 min, 60 min, 90 min","- Duration dropdown lists time slot options
- Selecting 60 min applies it to field
- Default is 30 min"
US10-20,Add note to client (character counter and limit),,US10 / AC2,"1. Open Book Session modal
2. Click on ""Add note to client"" button
3. Type note at 450 chars
4. Verify counter appears
5. Type until 500 chars
6. Verify input is blocked","Modal open
Note field initially hidden","- Textbox appears with placeholder: ""Add note to client""
- Cursor auto-focused to textbox
- At 450 chars: counter displays
- At 500 chars: input blocked, cannot add more
- Full character limit: 500"
US10-21,Type and enter note content under limit,,US10 / AC2,"1. Open Book Session modal
2. Click Add note to client
3. Type ""Please bring water bottle"" (27 chars)
4. Verify note is stored","Modal open","- Note textbox accepts input
- Content displays without counter (under 450)
- No blocking at this level"
US10-22,Clear session type selection (X icon),,US10 / AC2,"1. Open Book Session modal
2. Click on Type field
3. Select ""Standard Fitness"" session type
4. Click X icon to clear
5. Verify return to custom mode","Modal open
Session type ""Standard Fitness"" selected","- Session type summary displays after selection
- X icon on summary clears selection
- Form returns to custom session mode
- Previously entered data (Client, Start date, Start time, Note) persists
- Name, Duration, Location, Description fields reappear"
US10-23,Select session type from searchable dropdown,,US10 / AC2,"1. Open Book Session modal
2. Click on Type field
3. Verify dropdown shows active session types
4. Select ""Nutrition Coaching"" from list","Modal open
Active session types exist: Standard Fitness (30 min, In-person), Nutrition Coaching (45 min, In-person), Training Session (60 min, Video)
Type count: 40+ types
Sorted alphabetically","- Type dropdown opens with searchable list
- List shows first 20 types sorted A-Z
- Each type shows: name, duration, location type, 1:1 indicator
- Selection closes dropdown
- Summary displays selected type details"
US10-24,Search session types by name,,US10 / AC2,"1. Open Book Session modal
2. Click on Type field
3. Type ""Nutrition"" in search
4. Verify filtered results","Types exist: Nutrition Coaching, Nutritional Assessment
Other types: Standard Fitness, Training","- Dropdown filters by type name (debounce 200ms)
- Only ""Nutrition Coaching"" and ""Nutritional Assessment"" appear
- Non-matching types filtered out"
US10-25,Search session types with no results,,US10 / AC2,"1. Open Book Session modal
2. Click on Type field
3. Type ""Xyz999"" in search
4. Verify empty state","Modal open
No session types match ""Xyz999""","- Empty dropdown list appears
- Message: ""No result found."""
US10-26,No session types available - create CTA,,US10 / AC2,"1. Open Book Session modal
2. Click on Type field
3. Verify empty state message","WS has 0 active session types","- Dropdown displays: ""No session types yet""
- ""Create session type"" CTA button appears
- On click: navigates to Session Type creation"
US10-27,Type pagination - load next batch,,US10 / AC2,"1. Open Book Session modal
2. Click on Type field
3. Verify 20 types load
4. Scroll down
5. Verify next batch loads","Types: 50+ active types
Sorted A-Z","- First 20 types load
- Scrolling loads next 20
- Pagination works for large type lists"
US10-28,Customize selected session type (Edit overlay),,US10 / AC2,"1. Open Book Session modal
2. Select session type (e.g., ""Standard Fitness"")
3. Click Edit icon on summary
4. Verify ""Edit [Type Name]"" overlay opens
5. Edit Duration field to 45 min
6. Click Apply","Modal open
Selected type: Standard Fitness (30 min, In-person, Location note: ""Studio A"")
Edit overlay shows: Duration, Location, Description
Apply button disabled by default","- Overlay displays: ""Edit Standard Fitness""
- Message: ""Changes apply to this session only.""
- Selected type fields pre-populated
- Can edit: Duration, Location, Description only
- Apply button disabled initially
- Changing duration enables Apply
- Click Apply closes overlay, updates summary
- Original Book Session popup remains open"
US10-29,Cancel edit overlay - X icon,,US10 / AC2,"1. Open Book Session modal
2. Select session type
3. Click Edit icon
4. Make edits (change Duration)
5. Click X icon on overlay
6. Verify changes discarded","Modal open
Overlay open with edits","- Overlay closes
- Session type summary unchanged
- Original values preserved in overlay preview"
US10-30,Cancel edit overlay - Cancel button,,US10 / AC2,"1. Open Book Session modal
2. Select session type
3. Click Edit icon
4. Edit Duration (e.g., to 90 min)
5. Click Cancel button
6. Verify changes discarded","Overlay open
Edited duration: 90 min
Original: 30 min","- Overlay closes
- Session type summary shows original duration (30 min)
- Book Session popup returns
- Form state unchanged"
US10-31,Add missing address to session type (In-person without address),,US10 / AC2.1,"1. Open Book Session modal
2. Select In-person session type without Address but with Description
3. Verify summary shows: ""Add address"" link + Description
4. Click ""Add address"" link
5. Type ""123 Main St, Suite 200""
6. Verify address appears in summary","Modal open
Selected type: Fitness Training (In-person, Address: NULL, Description: ""Full body workout"")","- Summary displays ""Add address"" hyperlink
- Description displays as usual
- Clicking ""Add address"" converts link to text input
- Coach can type address
- Address persists in session type summary"
US10-32,Add missing description to session type (In-person without description),,US10 / AC2.1,"1. Open Book Session modal
2. Select In-person session type without Description
3. Verify summary shows: ""Add description"" link
4. Click ""Add description"" link
5. Type ""One-on-one coaching session""","Modal open
Selected type: Basic Training (In-person, Address: ""456 Oak Ave"", Description: NULL)","- Summary displays ""Add description"" hyperlink
- Clicking opens text input
- Coach can type description
- Description persists in summary"
US10-33,Fill all required fields and submit booking (happy path),,US10 / AC3,"1. Open Book Session modal
2. Fill: Client=""John Smith"", Start Date=""Mar 20, 2026"", Start Time=""10:00 AM"", Name=""Quarterly Check-in"", Duration=""60 min"", Location=""In-person""
3. Leave Type blank (custom session)
4. Click ""Book Session""
5. Verify session saves","Modal open
No overlapping sessions
Future date (not past)
All required fields filled","- System validates all required fields
- No validation errors
- Session saved to database
- Modal closes
- Toast: ""The session has been added. Session has been scheduled.""
- New session appears on calendar
- Calendar navigates to correct view/week"
US10-34,Submit booking with missing Client field (validation error),,US10 / AC3,"1. Open Book Session modal
2. Fill all fields EXCEPT Client
3. Click ""Book Session""
4. Verify validation message","Modal open
Client field empty","- Client field is highlighted
- Inline error message displays below field
- Form does not submit"
US10-35,Submit booking with missing Start Date field (validation error),,US10 / AC3,"1. Open Book Session modal
2. Fill all fields EXCEPT Start Date
3. Click ""Book Session""
4. Verify validation message","Modal open
Start Date field empty","- Start Date field is highlighted
- Inline error message displays
- Form does not submit"
US10-36,Submit booking with missing Start Time field (validation error),,US10 / AC3,"1. Open Book Session modal
2. Fill all fields EXCEPT Start Time
3. Click ""Book Session""
4. Verify validation message","Modal open
Start Time field empty","- Start Time field is highlighted
- Inline error message displays
- Form does not submit"
US10-37,Submit booking with missing Name field (validation error),,US10 / AC3,"1. Open Book Session modal
2. Fill all fields EXCEPT Name
3. Click ""Book Session""
4. Verify validation message","Modal open
Name field empty","- Name field is highlighted
- Inline error message displays
- Form does not submit"
US10-38,Submit booking with missing Duration field (validation error),,US10 / AC3,"1. Open Book Session modal
2. Fill all fields EXCEPT Duration
3. Click ""Book Session""
4. Verify validation message","Modal open
Duration field empty (or default not applied)","- Duration field is highlighted
- Inline error message displays
- Form does not submit"
US10-39,Submit booking with missing Location field (validation error),,US10 / AC3,"1. Open Book Session modal
2. Fill all fields EXCEPT Location
3. Click ""Book Session""
4. Verify validation message","Modal open
Location field empty","- Location field is highlighted
- Inline error message displays
- Form does not submit"
US10-40,Book future session with no overlap (no conflict),,US10 / AC3,"1. Open Book Session modal
2. Fill all required fields for future date (Mar 25, 2026 10:00 AM - 11:00 AM)
3. Verify no overlapping sessions in system
4. Click ""Book Session""
5. Verify session saves without conflict popup","Modal open
Session time: Mar 25, 2026 10:00 AM - 11:00 AM
No other sessions for coach 9:00 AM - 12:00 PM that day
Future date (not past)","- System checks for overlap via API
- No overlap found
- Session saves to database
- Modal closes
- Toast: ""The session has been added...""
- Session renders on calendar
- No conflict popup shown"
US10-41,Book future session with overlap detected (conflict popup),,US10 / AC3,"1. Open Book Session modal
2. Fill fields for date/time with overlap
3. Click ""Book Session""
4. Verify conflict popup appears
5. Click ""Cancel"" button
6. Verify modal remains open with data persisted","Modal open
Existing session: Mar 20, 2026 2:00 PM - 3:00 PM
New booking attempt: Mar 20, 2026 2:15 PM - 3:15 PM (overlaps)","- Overlap detected via API
- Popup title: ""Session Overlap""
- Message: ""You already have another session during this time. Are you sure you want to book this session anyway?""
- Popup shows ""Cancel"" and ""Book Anyway"" (focused)
- Clicking Cancel closes popup
- Returns to Book Session modal
- All entered data persists"
US10-42,Book overlapping session via Book Anyway (force save),,US10 / AC3,"1. Open Book Session modal
2. Fill fields causing overlap
3. Click ""Book Session""
4. On conflict popup, click ""Book Anyway""
5. Verify session saves despite overlap","Modal open
Existing session: Mar 20, 2026 2:00 PM - 3:00 PM
New: Mar 20, 2026 2:15 PM - 3:15 PM
Overlap confirmed","- Conflict popup appears
- Clicking ""Book Anyway"" saves session
- Modal closes
- Toast: ""The session has been added...""
- Both sessions appear on calendar
- Session renders with other overlapping session"
US10-43,Book past date session (past date confirmation popup),,US10 / AC3,"1. Open Book Session modal
2. Fill fields with PAST date/time (e.g., Mar 1, 2026 10:00 AM, current is Mar 10)
3. Click ""Book Session""
4. Verify past date confirmation popup
5. Click ""Cancel""
6. Verify modal remains open with data persisted","Modal open
Current date: Mar 10, 2026 10:00 AM
Session date: Mar 1, 2026 10:00 AM (past)","- System detects end_time < current_time
- Popup title: ""Session Date Is In the Past""
- Message: ""You selected a Date and time that is in the past. This session will be saved as Completed. No client communication will be sent. Are you sure you want to book this session anyway?""
- Popup shows ""Cancel"" (focused) and ""Book Anyway""
- Clicking Cancel closes popup
- Returns to Book modal with data persisted"
US10-44,Book past date session via Book Anyway (force save as completed),,US10 / AC3,"1. Open Book Session modal
2. Fill with past date/time
3. Click ""Book Session""
4. On past date popup, click ""Book Anyway""
5. Verify session saves as Completed","Modal open
Past date: Mar 1, 2026 2:00 PM
Current: Mar 10, 2026 10:00 AM","- Past date popup appears
- Clicking ""Book Anyway"" saves session
- Session saved with status: ""Completed""
- Modal closes
- Toast: ""The session has been added...""
- Session appears on calendar marked as Completed"
US10-45,Book session API failure (error toast),,US10 / AC3,"1. Open Book Session modal
2. Fill all required fields (valid data)
3. Click ""Book Session""
4. Simulate API failure
5. Verify error handling","Modal open
Valid data filled
API error occurs (500 Internal Server Error)","- System attempts to save
- API error caught
- Modal remains open
- All data persists in form fields
- CTA buttons remain enabled
- Toast: ""Failed to add a session. Please try again"""
US10-46,Cancel booking with NO unsaved changes (X icon, no data),,US10 / AC4,"1. Open Book Session modal
2. Do NOT enter any data
3. Click X icon (top right)
4. Verify modal closes immediately","Modal open
No data entered
Form is pristine","- Modal closes immediately
- No confirmation dialog
- No data loss warning needed"
US10-47,Cancel booking with unsaved changes (X icon, discard confirmation),,US10 / AC4,"1. Open Book Session modal
2. Fill: Client=""Jane Smith"", Start Date=""Mar 15, 2026""
3. Click X icon
4. Verify discard confirmation appears
5. Click ""Cancel"" on confirmation
6. Verify modal remains open with data","Modal open
Data entered: Client + Start Date","- X icon click triggers discard confirmation
- Confirmation title: ""Discard Changes?""
- Confirmation message: ""Unsaved changes will be lost.""
- Buttons: ""Cancel"" (focused), ""Discard""
- Clicking Cancel on confirmation returns to modal
- Data persists"
US10-48,Discard unsaved changes (confirm discard),,US10 / AC4,"1. Open Book Session modal
2. Fill: Client=""Jane Smith"", Start Date=""Mar 15, 2026""
3. Click X icon
4. On discard confirmation, click ""Discard""
5. Verify modal closes and data is lost","Modal open
Unsaved data: Client + Start Date","- Discard confirmation appears
- Clicking Discard closes modal
- Data is not saved
- Returns to calendar view"
US10-49,Cancel booking with unsaved changes (Cancel button),,US10 / AC4,"1. Open Book Session modal
2. Fill: Client=""Jane Smith"", Start Date=""Mar 15, 2026""
3. Click ""Cancel"" button
4. Verify discard confirmation appears
5. Click ""Cancel"" on confirmation
6. Verify modal remains open","Modal open
Data entered","- Cancel button triggers discard confirmation
- Confirmation appears with same text as X icon flow
- Clicking Cancel on confirmation returns to modal with data"
US10-50,Discard unsaved changes (Cancel button then confirm discard),,US10 / AC4,"1. Open Book Session modal
2. Fill: Client=""Jane Smith"", Name=""Assessment""
3. Click ""Cancel"" button
4. On confirmation, click ""Discard""
5. Verify modal closes","Modal open
Data entered: Client + Name","- Discard confirmation appears
- Clicking Discard closes modal
- Data not saved
- Returns to calendar"
,US11. View sessions on calendar,,,,
US11-1,Display calendar with existing sessions (entry point),,US11 / AC1,"1. Login as coach
2. Navigate to Calendar page
3. Verify calendar view renders
4. Verify sessions display according to current view (Day/Week/Month)","Booking feature enabled
WS has 5+ sessions
Sessions status: Scheduled, Completed, Early Canceled, Late Canceled","- Calendar page loads
- Calendar displays all sessions for the WS
- Sessions render according to selected view
- All session types (custom + session type-based) display
- No canceled sessions shown (canceled sessions hidden)"
US11-2,Empty calendar state (no sessions),,US11 / AC2,"1. Login as coach
2. Navigate to Calendar page
3. Verify calendar is empty
4. Navigate to different date ranges
5. Verify calendar remains empty","Booking feature enabled
WS has 0 sessions","- Calendar grid displays empty
- No session cards or popovers render
- Calendar navigation works (next/prev week)
- View switching works (Day/Week/Month)
- No ""No sessions"" message or special empty state UI"
US11-3,Session rendering in Day view (vertical time-slot layout),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Verify sessions display in vertical time-slot layout
3. Verify session blocks align with their start times on grid
4. Click on a session block
5. Verify session detail popover opens","Day view active
Sessions on calendar: 9:00 AM Fitness (30 min), 11:00 AM Coaching (60 min)","- Sessions display vertically
- Each session block positioned at its start time on grid
- Session height proportional to duration
- Clicking opens session detail popover
- Sessions responsive to screen size"
US11-4,Session color based on session type (custom color),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Observe session color
3. Select a custom session (no type assigned)
4. Verify custom session color matches what was selected during booking","Custom session created with blue color
Session type-based session with red color","- Custom sessions display in their selected color
- Session type sessions display in type's designated color
- Color differentiates sessions visually on calendar"
US11-5,Session color distinction - past vs current (future) sessions,,US11 / AC3,"1. Navigate to Calendar (Day view, today's date)
2. Observe session colors for past sessions (before current time)
3. Observe session colors for current/upcoming sessions (at or after current time)
4. Verify visual distinction","Current time: Mar 10, 2026 2:00 PM
Past session: Mar 10 9:00 AM (Completed)
Current session: Mar 10 3:00 PM (Scheduled)
Upcoming: Mar 11 10:00 AM (Scheduled)","- Past sessions (end_time < current_time) display in muted/faded color
- Current/upcoming sessions display in regular color
- Color distinction applies to all statuses: Completed, Scheduled, Early Canceled, Late Canceled
- Hover/selected states also maintain distinction"
US11-6,Session block height for short duration (≤15 mins),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create or find session ≤15 mins duration
3. Verify session block height = 1/4 of 1-hour slot
4. Verify height is fixed (not scaled down further)
5. Verify session info displays in 1 line","Session: 12:00 PM - 12:15 PM (15 min)
Session name: ""Quick Check-in""
Client: ""Alice Johnson""","- Session block height = 1/4 of 1-hour slot (fixed)
- Content on 1 line: Client name, Start time, Session name
- Height does not shrink if block overlaps"
US11-7,Session block height for 20-45 min duration,,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Find session 30 min duration
3. Verify block height = 30/60 = 1/2 of 1-hour slot
4. Find session 45 min duration
5. Verify block height = 45/60 = 3/4 of 1-hour slot
6. Verify session info displays in 1 line","Sessions: 1:00 PM - 1:30 PM (30 min), 2:00 PM - 2:45 PM (45 min)
Session names: ""Fitness"", ""Assessment""
Client: ""Bob Smith""","- 30-min session block height = 1/2 slot
- 45-min session block height = 3/4 slot
- Content on 1 line for both
- Block heights calculated correctly"
US11-8,Session block height for 46-59 min duration,,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Find session 50 min duration
3. Verify block height = 50/60 ≈ 5/6 of slot
4. Verify session info displays in 2 lines
5. Line 1: Client name + Start time; Line 2: Session name","Session: 2:00 PM - 2:50 PM (50 min)
Client: ""Charlie Brown""
Session name: ""Extended Consultation""","- 50-min session block height calculated correctly
- Content on 2 lines:
  - Line 1: Client name, Start time
  - Line 2: Session name"
US11-9,Session block height for 60+ min duration,,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Find session 90 min duration
3. Verify block height = 90/60 = 1.5 hour slots
4. Verify session info displays in 3 lines
5. Line 1: Client name; Line 2: Start-End time; Line 3: Session name","Session: 2:00 PM - 3:30 PM (90 min)
Client: ""Diana Prince""
Session name: ""Full Assessment""","- 90-min session block spans 1.5 hour slots
- Content on 3 lines:
  - Line 1: Client name
  - Line 2: Start-End time (2:00 PM – 3:30 PM) with am/pm logic applied
  - Line 3: Session name"
US11-10,AM/PM display logic for start-end times same day/same period,,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Find session 9:00 AM - 10:00 AM (both AM, same day)
3. Verify time display: ""9:00 AM – 10:00 AM""
4. Find session 2:00 PM - 3:00 PM (both PM, same day)
5. Verify time display: ""2:00 PM – 3:00 PM""","Sessions: 9:00 AM - 10:00 AM, 2:00 PM - 3:00 PM
Each 60 min duration","- Start-end time displays AM/PM for BOTH when same period
- Display: ""9:00 AM – 10:00 AM"" (full am/pm for both)
- Display: ""2:00 PM – 3:00 PM"" (full am/pm for both)"
US11-11,AM/PM display logic for start-end times crossing AM/PM boundary,,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Find session 11:30 AM - 12:30 PM (crosses AM/PM)
3. Verify time display: ""11:30 AM – 12:30 PM""","Session: 11:30 AM - 12:30 PM (60 min)","- Crossing AM/PM boundary shows am/pm for both
- Display: ""11:30 AM – 12:30 PM"""
US11-12,Overlapping sessions - horizontal stacking (side by side),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create 2 overlapping sessions:
   - Session A: 10:00 AM - 11:00 AM
   - Session B: 10:15 AM - 11:15 AM
3. Verify both sessions display side by side
4. Verify widths reduced proportionally","Day view
Session A: 10:00 AM - 11:00 AM, Client: Alice
Session B: 10:15 AM - 11:15 AM, Client: Bob","- Both sessions render horizontally stacked
- Session A on left, Session B on right
- Block widths reduced to fit in available space
- Both sessions clickable"
US11-13,Overlapping sessions - sort by start time (earlier left),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create 3 overlapping sessions:
   - Session A: 10:00 AM - 11:00 AM
   - Session B: 10:30 AM - 11:30 AM
   - Session C: 11:00 AM - 12:00 PM
3. Verify sort order: A (left) → B (middle) → C (right)","Day view
3 overlapping sessions with different start times","- Sessions sorted left to right by start_time ascending
- 10:00 AM (A) appears leftmost
- 10:30 AM (B) appears middle
- 11:00 AM (C) appears rightmost"
US11-14,Overlapping sessions - sort by duration (longer left when same start),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create sessions with same start time, different durations:
   - Session A: 10:00 AM - 11:00 AM (60 min)
   - Session B: 10:00 AM - 10:45 AM (45 min)
3. Verify sort: A (longer, left) → B (shorter, right)","Day view
Same start time (10:00 AM), different durations","- Sessions with same start_time sorted by duration descending
- 60-min session (A) on left
- 45-min session (B) on right"
US11-15,Overlapping sessions - sort by created time (older left when same start/duration),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create sessions with same start time and duration:
   - Session A: created 2026-03-01 (older)
   - Session B: created 2026-03-05 (newer)
   - Both: 10:00 AM - 11:00 AM (60 min)
3. Verify sort: A (older, left) → B (newer, right)","Day view
Same start_time, same duration, different created_at","- Sessions sorted by created_at ascending
- Older session (A) on left
- Newer session (B) on right"
US11-16,Overlapping sessions - vacant slot alignment (left-aligned),,US11 / AC3,"1. Navigate to Calendar (Day view)
2. Create 2 overlapping sessions leaving vacant space
3. Verify sessions align to left side of time slot
4. No gap/whitespace between sessions and left edge","2 sessions in 4-unit-width time slot","- Sessions positioned to left side
- Vacant space on right of sessions
- No gap between left edge and first session"
US11-17,Week view - sessions across 7 day columns,,US11 / AC3,"1. Navigate to Calendar (Week view)
2. Verify 7 day columns display
3. Create sessions on different days
4. Verify each session appears in correct day column
5. Verify vertical stacking within columns","Week view active
Sessions:
- Mon: 10:00 AM - 11:00 AM
- Wed: 2:00 PM - 3:00 PM
- Fri: 9:00 AM - 9:30 AM","- Week view displays 7 columns (Mon-Sun)
- Sessions render in correct day columns
- Sessions sorted by start_time within each day
- Overlapping sessions within a day stack horizontally"
US11-18,Week view - multi-day session display (all-day or cross-day sessions),,US11 / AC3,"1. Navigate to Calendar (Week view)
2. Create session spanning 2 days:
   - Wed 11:00 PM - Thu 1:00 AM
3. Verify session displays on both days
4. Verify split correctly at midnight","Week view
Session: Wed 11:00 PM - Thu 1:00 AM (2-hour session crossing days)","- Session displays on Wed from 11:00 PM - 12:00 AM
- Session continues on Thu from 12:00 AM - 1:00 AM
- Each segment rendered with correct duration
- Segment content/styling matches Day view rules"
US11-19,Week view - multi-day session sorting (created_at for same start),,US11 / AC3,"1. Navigate to Calendar (Week view)
2. Create 2 sessions with same start time on same day
3. Verify sort by created_at (older left)","2 sessions on Mon, same start time","- Sessions sorted by start_time then created_at
- Older session displays left
- Newer session displays right"
US11-20,Month view - condensed session display,,US11 / AC3,"1. Navigate to Calendar (Month view)
2. Verify sessions display as condensed items in date cells
3. Verify each session shows: Start time, Client name
4. Click on a session
5. Verify session detail popover opens","Month view active
Sessions exist in calendar","- Sessions display as condensed row items
- Each item shows: Start time, Client name
- No session blocks (as in Day/Week views)
- Sessions clickable"
US11-21,Month view - session color for session type vs custom,,US11 / AC3,"1. Navigate to Calendar (Month view)
2. Create session type-based session (color: red)
3. Create custom session (color: blue)
4. Verify type-based displays in red
5. Verify custom displays in blue","Month view
2 sessions: type-based (red), custom (blue)","- Session type-based sessions display in type color
- Custom sessions display in selected color
- Color distinguishes sessions visually"
