ID,Test Scenarios,Empty,Items for Pivot Table,Step,Test Data,Expected
US3-10,Location Phone call with collect phone number checkbox,,US3 / AC2,"1. Open Create Session Type popup
2. Select Phone call location
3. Verify checkbox default state
4. Uncheck the checkbox
5. Re-check the checkbox",Logged in as Owner.,"- Phone call option selectable with hover state
- Checkbox ""Collect client's phone number during booking"" is checked by default
- Coach can uncheck the checkbox
- Coach can re-check the checkbox"
US3-11,Location Video call with integration message,,US3 / AC2,"1. Open Create Session Type popup
2. Select Video call location
3. Verify displayed message",Logged in as Owner.,"- Video call option selectable with hover state
- Message displays: ""You will need to provide your own video conferencing link to the client. Integrations coming soon!"""
US3-12,Description field tooltip and character limit,,US3 / AC2,"1. Open Create Session Type popup
2. Hover over the ""i"" icon next to Description
3. Type text into Description field
4. Enter text up to 10,000 characters
5. Attempt to type beyond limit","Description: Long text up to 10,000 characters.","- Tooltip shows ""This description will be included in the booking confirmation and reminder emails sent to the client.""
- Description field accepts input
- At 10,000 characters, input cursor is blocked
- Scrolling works inside paragraph textbox for long input"
US3-13,Create session type successfully with all fields,,US3 / AC3,"1. Open Create Session Type popup
2. Enter Name, select Duration, select Location, add Description
3. Click Create button
4. Verify success behavior","Name: ""Personal Training"".
Duration: 60 min.
Location: In-person, Address: ""123 Main St"".
Description: ""One-on-one training session"".","- Popup closes
- Success toast ""Session type has been created."" appears on top right
- Toast displays for 5 seconds then auto-closes
- Toast has ""x"" icon to close manually
- Session Types list refreshes with new entry
- New session type appears in Active tab
- is_archived = FALSE"
US3-14,Toast hover pauses auto-dismiss timer,,US3 / AC3,"1. Create a session type successfully
2. When toast appears, hover over the toast message
3. Keep hovering for more than 5 seconds
4. Move cursor away from toast",Logged in as Owner.,"- Toast remains visible while hovering
- Toast does not auto-close during hover
- Toast resumes dismiss behavior after cursor moves away"
US3-15,Create session type from Archived tab,,US3 / AC3,"1. Navigate to Session Types page
2. Switch to Archived tab
3. Click ""+Add New Session Type""
4. Fill required fields and click Create","Name: ""Yoga Class"".
Duration: 45 min.","- Create Session Type popup opens
- After successful creation, new session type appears in Active tab
- Session type does not appear in Archived tab"
US3-16,Validation errors for missing required fields,,US3 / AC3,"1. Open Create Session Type popup
2. Clear the Duration field
3. Leave Name empty
4. Click Create button
5. Verify inline error messages","Name: empty.
Duration: empty.","- Inline error under Name: ""Please add a session name""
- Inline error under Duration: ""Please add duration""
- Popup remains open
- All other input data is preserved"
US3-17,API failure on create keeps modal open for retry,,US3 / AC3,"1. Open Create Session Type popup
2. Fill all required fields
3. Simulate API failure on Create
4. Verify error handling
5. Click Create again to retry","Name: ""Personal Training"".
Duration: 30 min.
API: simulated failure.","- Modal remains open
- All user-entered data is preserved
- Error toast message displayed
- Create button is re-enabled for retry"
US3-18,Close popup with no changes made,,"US3 / AC2, AC4","1. Open Create Session Type popup
2. Do not modify any field
3. Press ESC key
4. Verify popup closes immediately",Logged in as Owner.,"- Popup closes immediately without Discard Changes prompt
- No data is saved"
US3-19,Cancel with unsaved changes - choose Discard,,US3 / AC4,"1. Open Create Session Type popup
2. Type a name into the Name field
3. Click Cancel button
4. Verify Discard Changes popup
5. Click ""Discard Changes""","Name: ""Test Session"".","- Discard Changes popup appears with label ""Discard changes?""
- Message: ""Are you sure you want to go? Changes have not been saved yet.""
- Shows Cancel and Discard Changes buttons
- Clicking Discard Changes closes both popups
- No data is saved"
US3-20,Cancel with unsaved changes - choose Stay,,US3 / AC4,"1. Open Create Session Type popup
2. Type a name into the Name field
3. Click ""x"" icon on top right
4. Verify Discard Changes popup
5. Click ""Cancel"" on Discard popup","Name: ""Test Session"".","- Discard Changes popup appears
- Clicking Cancel closes only the Discard popup
- Create Session Type popup remains open
- Input data ""Test Session"" is preserved"
US3-21,Discard popup X icon behaves same as Cancel,,US3 / AC4,"1. Open Create Session Type popup
2. Enter data in any field
3. Click Cancel to trigger Discard popup
4. Click ""x"" icon on Discard popup","Name: ""Test"".","- Clicking ""x"" icon on Discard popup closes only the Discard popup
- Create Session Type popup remains open
- Input data is preserved"
US3-22,Cannot click outside popup to close it,,US3 / AC2,"1. Open Create Session Type popup
2. Click on the dimmed background area outside the popup",Logged in as Owner.,"- Popup remains open
- No changes to popup state"
US3-23,Keyboard Tab navigation and Enter activation,,US3 / AC5,"1. Open Create Session Type popup
2. Press Tab key multiple times
3. Verify focus moves through fields and buttons
4. Focus on Create button
5. Press Enter key",Logged in as Owner.,"- Tab moves focus through data input fields and CTA buttons
- Each focused element displays visible focus indicator
- Enter key activates focused interactive element"
,"US4. As a coach, I can see the list of session types so that I can manage my service offerings efficiently and understand what is available for client booking.",,,,,
US4-1,Navigate to Session Types page and verify layout,,US4 / AC1,"1. Navigate to Booking menu in left sidebar
2. Click ""Session Types"" sub-menu
3. Verify page structure",Logged in as Owner.,"- System navigates to Session Types page
- URL shows session-types?tab=active
- Page title: ""Session Types""
- Active tab selected by default
- Search box visible under page title
- ""+Add New Session Type"" CTA visible at top-right"
US4-2,Empty state with zero-state illustration,,US4 / AC2,"1. Navigate to Session Types page
2. Verify empty state when no session types exist
3. Click the ""+Add New Session Type"" button in center",Precondition: No session types exist.,"- Zero-state illustration displayed
- ""+Add New Session Type"" button visible in center
- Clicking button initiates Create Session Type flow (US3)"
US4-3,Page loading with skeleton loaders,,US4 / AC3,"1. Navigate to Session Types page
2. Observe loading behavior
3. Wait for data to load",Precondition: Session types exist.,"- Skeleton loaders display for 4 table rows and column names
- No actual session data visible during loading
- Data loads within 5 seconds
- 20 items loaded per batch
- Skeleton replaced by actual data without page refresh or layout shift"
US4-4,Loading failure with auto-retry up to 3 times,,US4 / AC3,"1. Navigate to Session Types page
2. Simulate data loading failure
3. Verify retry behavior
4. Simulate continued failure after 3 retries",API: simulated failure for all attempts.,"- System automatically retries up to 3 times
- After 3 failed retries, error state is displayed"
US4-5,Table structure with all columns and content details,,US4 / AC4,"1. Navigate to Session Types page with existing data
2. Verify table columns and content
3. Hover over a session type row
4. Hover over action menu icon","Precondition: Session type exists with Name: ""Personal Training"", Description: ""One-on-one session"", Duration: 60 min, Location: In-person at ""123 Main St"", Number of clients: 1:1 session.","- Table columns: Session type, Duration, Location, Number of clients, Most recent, Action menu
- Session type header shows count (e.g., ""Session Type (6)"")
- Session type column: Name as primary, Description as secondary (max 2 rows)
- Duration: ""60 min""
- Location: ""In-person"" with address ""123 Main St""
- Number of clients: ""1:1 session""
- Most recent: Relative time displayed
- Action menu: 3-dot icon, no column name in header
- Row background changes on hover
- Action menu tooltip ""More options"" on hover"
US4-6,Long text truncation in table columns,,US4 / AC4,"1. Create a session type with very long name and description
2. Navigate to Session Types list
3. Verify text truncation","Name: 100-character string.
Description: Long multi-paragraph text.","- Long name truncated with ""..."" at column width
- Description shows max 2 rows with ""..."" for remaining text
- Table layout is not broken"
US4-7,Most recent column displays relative time correctly,,US4 / AC4,"1. Navigate to Session Types page
2. Verify Most recent column for various session types","Session types updated at: 5 seconds ago, 1 minute ago, 59 minutes ago, 1 hour ago, 6 days ago, 1 week ago, 5 weeks ago, 1 year ago.","- Displays relative time: 5s, 1m, 59m, 1h, 6d, 1w, 5w, 1y respectively"
US4-8,Action menu for active session type,,US4 / AC5,"1. Navigate to Session Types page (Active tab)
2. Click 3-dot icon on an active session type row
3. Verify dropdown menu
4. Click outside the menu",Precondition: Active session type exists.,"- Contextual dropdown menu appears aligned to icon
- Menu contains: Edit, Archive
- Dropdown overlays above table content
- Clicking outside closes the menu"
US4-9,Action menu for archived session type,,US4 / AC5,"1. Navigate to Session Types page
2. Switch to Archived tab
3. Click 3-dot icon on an archived session type row
4. Verify dropdown menu",Precondition: Archived session type exists.,"- Contextual dropdown menu appears aligned to icon
- Menu contains: Edit, Unarchive
- Dropdown overlays above table content
- Clicking outside closes the menu"
US4-10,Sorting columns ascending and descending,,US4 / AC6,"1. Navigate to Session Types page
2. Click Name column header
3. Verify ascending sort
4. Click Name column header again
5. Verify descending sort
6. Click Duration column header
7. Click Most recent column header",Precondition: Multiple session types exist.,"- Most recent sorted descending by default (latest on top)
- First click on Name: ascending order, arrow pointed down, visual indicator
- Second click on Name: descending order, arrow pointed up
- Duration and Most recent columns also sortable
- Active sort column shows visual indicator"
US4-11,Sorting persists across tab switching and pagination,,US4 / AC6,"1. Sort by Name ascending on Active tab
2. Switch to Archived tab
3. Verify sort is preserved
4. Switch back to Active tab
5. Navigate to page 2
6. Verify sort is preserved","Precondition: Multiple session types in both tabs, enough for pagination.","- Name ascending sort preserved when switching to Archived tab
- Sort preserved when switching back to Active tab
- Sort preserved when navigating pages"
US4-12,Sorting resets to default on page reload,,US4 / AC6,"1. Sort by Name ascending
2. Reload the page
3. Verify sorting state",Precondition: Session types exist.,"- After page reload, sorting resets to default (Most recent descending)"
US4-13,Tab switching between Active and Archived,,US4 / AC7,"1. Navigate to Session Types page
2. Verify Active tab is default
3. Click Archived tab
4. Verify Archived tab behavior",Precondition: Session types exist in both Active and Archived.,"- Active tab selected by default, shows active session types
- URL: session-types?tab=active
- Clicking Archived tab highlights it as active
- Archived tab fetches and displays archived session types
- URL updates to session-types?tab=archived
- Pagination resets to first page"
US4-14,Pagination controls and navigation,,US4 / AC8,"1. Navigate to Session Types page with 21+ items
2. Verify pagination controls
3. Click next page
4. Verify page update",Precondition: 21 active session types exist.,"- Pagination controls displayed at bottom
- Shows format ""< 1-20 of 21 >""
- Current page indicator and total item count visible
- Clicking next loads page 2 without full page reload
- Scroll position resets to top of list"
US4-15,Sticky table header on scroll,,US4 / AC9,"1. Navigate to Session Types page with many items
2. Scroll down vertically within the page",Precondition: Enough session types to require scrolling.,"- Vertical scrolling works within the page
- Table header row remains visible while scrolling"
US4-16,Keyboard navigation on Session Types page,,US4 / AC10,"1. Navigate to Session Types page
2. Press Tab key multiple times
3. Verify focus order
4. Press Enter on focused element",Logged in as Owner.,"- Tab moves focus through: Search box, Add New Session Type CTA, Tabs
- Focused elements display visible focus indicator
- Enter activates focused interactive elements"
,"US5. As a coach, I can search for a session type so that I can easily find a session type.",,,,,
US5-1,Search input default state and focus behavior,,"US5 / AC1, AC2","1. Navigate to Session Types page
2. Verify search input is visible in both tabs
3. Verify search input default state
4. Hover over search input
5. Click into search input",Logged in as Owner.,"- Search input visible at top left in both Active and Archived tabs
- Search input is empty by default
- Placeholder: ""Search session type name""
- Search input is NOT auto-focused on page load
- Hover state shows border/background highlight
- Click shows cursor and focused state"
US5-2,Search with debounce trigger and matching results,,US5 / AC3,"1. Click into search input
2. Type ""Personal"" into search
3. Wait for 200ms debounce
4. Verify filtered results","Search keyword: ""Personal"".
Precondition: Session type ""Personal Training"" exists.","- Search triggers after 200ms debounce
- List updates without full page reload
- Only session types with name containing ""Personal"" are shown
- Matching is case-insensitive
- Table behaviors still apply: hover, action menu, sorting, pagination"
US5-3,Search triggered by Enter key,,"US5 / AC3, AC9","1. Click into search input
2. Type ""Yoga""
3. Immediately press Enter before debounce
4. Verify results","Search keyword: ""Yoga"".
Precondition: Session type ""Yoga Class"" exists.","- Search triggers immediately on Enter
- Matching results displayed
- Tab key moves focus out of search input"
US5-4,Search applies across tab switching,,US5 / AC3,"1. Type ""Training"" in search on Active tab
2. Verify filtered results on Active tab
3. Switch to Archived tab
4. Verify same search keyword applies","Search keyword: ""Training"".
Precondition: Session types named ""Training"" exist in both tabs.","- Active tab shows only active session types matching ""Training""
- Switching to Archived tab applies same keyword
- Only archived session types matching ""Training"" displayed"
US5-5,Loading behavior during search,,US5 / AC4,"1. Type search keyword
2. Observe loading state
3. Wait for search to complete","Search keyword: ""Test"".","- Existing data remains visible during search request
- Loading processing bar is displayed
- After completion, existing data replaced by search results
- Page layout remains stable (no layout shift)"
US5-6,No search results empty state,,US5 / AC5,"1. Type a keyword that matches no session types
2. Verify empty state","Search keyword: ""NonExistentSessionXYZ"".","- Empty state message: ""No session types found.""
- Table rows not displayed
- Pagination controls hidden"
US5-7,Clearing search resets to default state,,US5 / AC6,"1. Type ""Training"" in search
2. Verify filtered results
3. Manually delete all text from search input
4. Verify list resets","Search keyword: ""Training"" then clear.","- After clearing search, list resets to default unsearched state
- Data reloaded for currently active tab
- Previously applied sorting state is preserved"
US5-8,Sorting works on search-filtered results,,US5 / AC7,"1. Search for ""Training""
2. Click Name column header to sort ascending
3. Verify sort applies to filtered results
4. Type new search keyword
5. Verify sort persists","Search keyword: ""Training"".
Precondition: Multiple matching session types.","- Sorting applies only to searched results
- Active search keyword maintained during sort
- Sorting state persists while typing new keywords
- Sorting state persists while switching tabs"
US5-9,Pagination applies to search results,,US5 / AC8,"1. Search keyword that returns 21+ results
2. Verify pagination on search results
3. Navigate to page 2
4. Update search keyword
5. Verify pagination resets",Search keyword returning 21+ results.,"- Pagination controls displayed for search results
- Search keyword remains applied when navigating pages
- Updating search keyword resets pagination to page 1"
US5-10,Search API failure shows error state,,US5 / AC10,"1. Type search keyword
2. Simulate search API failure
3. Verify error handling","Search keyword: ""Test"".
API: simulated failure.","- Error state displayed
- No partial results shown in list
- Search keyword remains in input for retry"
,"US6. As a coach, I can view a session type's details so that I can understand what the session include before creating or booking a session.",,,,,
US6-1,"Open session type details via row click, URL, and Edit menu",,US6 / AC1,"1. Click on a session type row (not on 3-dot icon)
2. Verify popup opens with details
3. Close popup
4. Click 3-dot icon > Edit on the same row
5. Verify popup opens
6. Verify Update button and Cancel button states","Precondition: Session type ""Personal Training"" exists with all fields filled.","- Clicking row opens session type popup
- All input fields populated after data is fully loaded
- URL updates to session-types/:id/view?tab=active
- Background page dimmed with modal overlay
- Background scrolling disabled
- Update button disabled (no changes made)
- Hover on disabled Update shows block icon
- Cancel button enabled
- Edit from 3-dot menu also opens same popup"
US6-2,Close view modal with no changes via X and Cancel,,US6 / AC2,"1. Open session type details popup
2. Do not make any changes
3. Click X icon to close
4. Re-open the same session type
5. Click Cancel button to close",Precondition: Session type exists.,"- X icon closes popup immediately
- Cancel button closes popup immediately
- No Discard Changes prompt (no changes made)
- Returns to Session Types list
- No data changed"
,"US7. As a coach, I can edit a session type so that I can update its details to reflect my current offerings.",,,,,
US7-1,Edit mode trigger and Update button state change,,US7 / AC1,"1. Open session type details popup
2. Verify Update button is disabled
3. Modify the Name field
4. Verify Update button becomes enabled
5. Verify secondary label appears","Original Name: ""Personal Training"".
New Name: ""Personal Training Pro"".","- Update button initially disabled with block icon on hover
- After modifying Name, Update button becomes enabled
- Modal switches to edit mode
- Secondary label: ""Changes affect new bookings only, scheduled sessions will not be modified."""
US7-2,Save updated session type successfully,,US7 / AC2,"1. Open session type popup
2. Change Name to new value
3. Click Update button
4. Verify success behavior","New Name: ""Personal Training Pro"".","- Update button disables during request (prevents duplicate submissions)
- Updated data saved with updated_at timestamp
- Modal closes
- Toast: ""Session type has been updated."" on top right"
US7-3,Save updated session type fails with retry,,US7 / AC2,"1. Open session type popup
2. Modify a field
3. Click Update button
4. Simulate API failure
5. Verify error handling
6. Click Update again to retry","New Name: ""Updated Training"".
API: simulated failure.","- Update button disables during request
- On failure, modal remains open
- All user-entered changes preserved
- Error toast displayed
- Update button re-enabled for retry"
US7-4,Edit archived session type preserves archived status,,US7 / AC3,"1. Switch to Archived tab
2. Open an archived session type for editing
3. Modify the Name field
4. Click Update
5. Verify session type remains archived","New Name: ""Archived Training Updated"".
Precondition: Archived session type exists.","- Editing behavior same as active session type
- After update, is_archived status remains TRUE
- Session type stays in Archived tab"
,"US8. As a coach, I can archive a session type so that it is no longer available for booking new sessions, while existing sessions remain unchanged.",,,,,
US8-1,Archive action entry point from Active tab 3-dot menu,,US8 / AC1,"1. Navigate to Session Types page (Active tab)
2. Click 3-dot icon on an active session type
3. Verify context menu",Precondition: Active session type exists.,"- Context menu displayed with hover state
- Contains: Edit, Archive"
US8-2,Archive confirmation modal - cancel without archiving,,US8 / AC2,"1. Click 3-dot > Archive on active session type
2. Verify confirmation popup content
3. Click Cancel
4. Verify no changes","Precondition: Active session type ""Personal Training"" exists.","- Confirmation popup with title: ""Archive Session Type?""
- Description: ""Are you sure you want to archive this session type? It will no longer be available for booking new sessions. All existing sessions on your calendar will remain unchanged.""
- Cancel and Archive buttons shown
- Clicking Cancel closes confirmation modal
- Returns to Session Types list
- Session type remains active"
US8-3,Archive confirmation modal - close via X icon,,US8 / AC2,"1. Click 3-dot > Archive on active session type
2. Click X icon on confirmation popup",Precondition: Active session type exists.,"- Confirmation modal closes
- No changes to session type
- Session type remains in Active tab"
US8-4,Archive session type successfully,,"US8 / AC2, AC3","1. Click 3-dot > Archive on active session type
2. Click Archive button on confirmation modal
3. Verify archive success","Precondition: Active session type ""Personal Training"" exists.","- Archive button disables to prevent duplicate submissions
- Confirmation popup closes
- is_archived updated to TRUE
- archived_at set to current timestamp
- updated_at set to current timestamp
- Toast: ""Session type has been archived.""
- Session type moves to Archived tab
- Remains on Active tab after action
- Sorting preserved, next item pulled forward"
US8-5,Archive session type fails with error and retry,,US8 / AC2,"1. Click 3-dot > Archive on active session type
2. Click Archive button
3. Simulate API failure
4. Verify error handling",API: simulated failure.,"- Session type remains in Active tab
- Error toast: ""Failed to archive session type. Please try again.""
- User can retry archive action"
,"US9. As a coach, I can unarchive a session type so that it becomes available for use again.",,,,,
US9-1,Unarchive action entry point from Archived tab 3-dot menu,,US9 / AC1,"1. Navigate to Session Types page
2. Switch to Archived tab
3. Click 3-dot icon on an archived session type
4. Verify context menu",Precondition: Archived session type exists.,"- Context menu displayed with hover state
- Contains: Edit, Unarchive"
US9-2,Unarchive session type successfully,,"US9 / AC2, AC3","1. Click 3-dot > Unarchive on archived session type
2. Verify unarchive success behavior","Precondition: Archived session type ""Personal Training"" exists.","- Unarchive processes immediately (no confirmation modal)
- Toast: ""Session type has been unarchived."" on top right
- Session type removed from Archived tab
- Session type moves to Active tab
- is_archived updated to FALSE
- archived_at set to null
- updated_at set to current timestamp
- Sorting preserved, next item pulled forward"
US9-3,Unarchive session type fails with error,,US9 / AC2,"1. Click 3-dot > Unarchive on archived session type
2. Simulate API failure
3. Verify error handling",API: simulated failure.,"- Error toast: ""Failed to unarchive session type. Please try again.""
- Session type remains in Archived tab"
