ID,Test Scenarios,Empty column,Items for Pivot Table,Step,Test Data,Expected
US10-15,Type field — no session types in workspace,,US10 / AC2,"1. Ensure the workspace has no active session types.
2. Open the Book a Session popup and click the Type field.
3. Verify the empty state with CTA.",Workspace has zero active session types.,"- Dropdown shows the text ""No session types yet"".
- A ""Create session type"" CTA button is displayed.
- Clicking the CTA navigates the coach to the Session Type creation page."
US10-16,Selecting a session type populates summary and hides manual fields,,US10 / AC2,"1. Open the Book a Session popup.
2. Click the Type field and select an active session type.
3. Verify the summary section appears and manual fields are hidden.",Session type has: name, duration, location, address, description.,"- Dropdown closes after selection.
- Session type summary section is displayed without page refresh, showing: Session type color, Name, Duration, Location, Address (if provided), Location note (if provided), Description (if provided).
- Name, Duration, Location, and Description fields are hidden from the form.
- ""Add note to client"" field is still displayed."
US10-17,Clearing a selected session type returns form to Custom mode,,US10 / AC2,"1. Open the Book a Session popup and select a session type.
2. Fill in Client, Start Date, Start Time, and Add note to client.
3. Click the ""x"" icon to clear the session type.
4. Verify the form state.",Client: John Smith. Start Date: Mar 10 2026. Start Time: 10:00 AM. Note: ""Pre-session reminder"".,"- Session type summary section is cleared.
- Form returns to Custom Session mode (Name, Duration, Location, Description fields reappear).
- Client, Start Date, Start Time, and Add note to client values are preserved."
US10-18,Customizing session type for current session only (Edit icon flow),,US10 / AC2,"1. Open the Book a Session popup and select a session type.
2. Hover over the ""Edit"" icon; verify tooltip text.
3. Click the ""Edit"" icon.
4. Verify the edit overlay popup and auto-populated fields.
5. Change Duration; verify Apply button becomes enabled.
6. Click Apply.
7. Verify changes reflect in the session type summary on Book Session popup.",Session type: ""Yoga Flow"" — Duration: 60 min. Changed duration: 45 min.,"- Hovering the ""Edit"" icon shows tooltip: ""Change duration, location or description"".
- Clicking ""Edit"" opens the ""Edit [Session type name]"" popup overlay on the Book Session popup.
- Message ""Changes apply to this session only."" is shown.
- Session type info (Duration, Location, Description) is auto-populated.
- Apply button is disabled by default.
- After changing Duration to 45 min, Apply button becomes enabled.
- Clicking Apply closes the edit overlay, returns to Book Session popup, and shows updated Duration (45 min) in the session type summary."
US10-19,Customizing session type — Cancel and X icon discard changes,,US10 / AC2,"1. Open Book a Session popup, select a session type, and click the Edit icon.
2. Change the Duration value.
3. Click Cancel.
4. Verify the Book Session popup shows unchanged session type info.
5. Repeat step 1–2, then click the X icon on the edit popup.
6. Verify the same result.",Original duration: 60 min. Changed to: 45 min.,"- Clicking Cancel on the Edit popup closes it and returns to Book Session popup.
- Session type info is unchanged (Duration remains 60 min).
- Clicking the X icon on the Edit popup produces the same behavior as Cancel."
US10-20,Add missing address for In-person session type (no address but has description),,US10 / AC2.1,"1. Open Book a Session popup and select a session type with Location type ""In-person"", no address set, and a description provided.
2. Verify the session type summary display.
3. Click ""Add address"".
4. Verify the text input appears.",Session type: In-person. Address: not provided. Description: ""60-min yoga session"".,"- Session type summary shows a ""Add address"" hyperlink button (with hover state).
- Description is displayed as usual.
- Clicking ""Add address"" turns it into a text input for coach to enter an address."
US10-21,Add missing description for In-person session type (no description),,US10 / AC2.1,"1. Open Book a Session popup and select a session type with Location type ""In-person"" and no description.
2. Verify the session type summary display.
3. Click ""Add description"".
4. Verify the text input appears.",Session type: In-person. Address: provided. Description: not provided.,"- Session type summary shows a ""Add description"" hyperlink button (with hover state).
- Clicking ""Add description"" opens the text input for coach to enter a description."
US10-22,Add missing data — session type with both address and description provided,,US10 / AC2.1,"1. Open Book a Session popup and select a session type with Location ""In-person"", address provided, and description provided.
2. Verify the session type summary display.",Session type: In-person. Address: ""123 Main St"". Description: ""Morning stretch session"".,"- Session type summary displays address and description as usual.
- No ""Add address"" or ""Add description"" hyperlink buttons appear."
US10-23,Book Session — required field validation on submit,,US10 / AC3,"1. Open the Book a Session popup.
2. Leave all required fields (Client, Start Date, Start Time, Name, Duration, Location) empty.
3. Click ""Book Session"".
4. Verify inline validation messages.",All required fields left empty.,"- Required fields (Client, Start Date, Start Time, Name, Duration, Location) are highlighted.
- Inline validation messages are displayed for each empty required field."
US10-24,Book Session — successful creation with no session overlap (future session),,US10 / AC3,"1. Open the Book a Session popup.
2. Fill all required fields with a future date/time that does not overlap any existing session.
3. Click ""Book Session"".
4. Verify the session is created.",Client: John Smith. Start Date: tomorrow. Start Time: 2:00 PM. Name: ""Strength Session"". Duration: 60 min. Location: In-person. No existing sessions at that time.,"- No overlap confirmation popup appears.
- ""Book a session"" popup closes.
- Session data is saved to the database (session and booking tables).
- Toast message: ""Session has been scheduled."" is displayed.
- New session appears on the calendar at the correct start time and in the correct position.
- Calendar navigates to the week/day of the new session if it is outside the current view."
US10-25,Book Session — overlap detected for future session,,US10 / AC3,"1. Create a session on March 20 2026 at 2:00 PM – 3:00 PM for the Owner trainer.
2. Open Book a Session popup; fill all required fields with March 20 2026 start 2:30 PM, duration 60 min.
3. Click ""Book Session"".
4. Verify the overlap confirmation popup.
5. Click ""Cancel"".
6. Verify return to Book a session popup with data preserved.
7. Click ""Book Session"" again and click ""Book Anyway"".
8. Verify session is saved.",Existing session: March 20 2026 2:00 PM – 3:00 PM. New session: March 20 2026 2:30 PM – 3:30 PM. Same trainer.,"- ""Session Overlap"" confirmation popup is displayed.
- Description: ""You already have another session during this time. Are you sure you want to book this session anyway?""
- Clicking ""Cancel"" closes the confirmation popup and returns to Book a session popup with all data preserved.
- Clicking ""Book Anyway"" saves the session (same behavior as no-overlap: popup closes, toast shown, session appears on calendar)."
US10-26,Book Session — past end date/time triggers Past Date confirmation (no overlap check),,US10 / AC3,"1. Open the Book a Session popup.
2. Set a date and time in the past (end time < current time).
3. Click ""Book Session"".
4. Verify the Past Date confirmation popup.
5. Click Cancel.
6. Verify return to Book a session popup with data preserved.
7. Click ""Book Session"" and then ""Book Anyway"".
8. Verify session is saved as Completed.",Start Date: yesterday. Start Time: 8:00 AM. Duration: 30 min (end time is in the past).,"- No overlap check is performed.
- ""Session Date Is In the Past"" popup is shown.
- Message: ""You selected a Date and time that is in the past. This session will be saved as Completed. No client communication will be sent. Are you sure you want to book this session anyway?""
- ""Cancel"" and ""Book Anyway"" (focused) buttons are shown.
- Clicking ""Cancel"" closes the confirmation and returns to Book a session popup with all data preserved.
- Clicking ""Book Anyway"" saves the session with status Completed."
US10-27,Book Session — API failure keeps popup open and data persisted,,US10 / AC3,"1. Open the Book a Session popup and fill all required fields.
2. Simulate a server error (e.g., disable network).
3. Click ""Book Session"".
4. Verify error behavior.",All fields filled correctly. Server returns error response.,"- Book a session popup remains open.
- All coach-entered data is preserved in the form.
- ""Book Session"" CTA remains enabled for retry.
- Toast message: ""Failed to add a session. Please try again"" is displayed."
US10-28,Cancel popup — no changes entered,,US10 / AC4,"1. Open the Book a Session popup without entering any data.
2. Click ""Cancel"" button.
3. Verify popup closes without confirmation.",No data entered in any field.,"- Popup closes immediately.
- No unsaved changes confirmation is shown."
US10-29,Cancel popup — changes entered then click Cancel (discard),,US10 / AC4,"1. Open the Book a Session popup and enter a client name and start time.
2. Click ""Cancel"".
3. Verify behavior per Session Types spec for unsaved changes.",Client: John Smith entered. Start Time: 10:00 AM entered.,"- Unsaved changes are discarded.
- Popup closes."
US10-30,Cancel popup — changes entered then click X icon (discard),,US10 / AC4,"1. Open the Book a Session popup and enter data into at least one field.
2. Click the ""x"" (close) icon on the popup.
3. Verify the same discard behavior as clicking Cancel.",Client: Jane Doe entered.,"- Unsaved changes are discarded.
- Popup closes."
,US11. View sessions on the calendar,,,,,
US11-1,Calendar displays all sessions on the Calendar page when Booking is enabled,,US11 / AC1,"1. Ensure the Booking feature is enabled for the workspace.
2. Navigate to the Calendar page.
3. Verify sessions are displayed in the current calendar view.","Workspace has multiple sessions (scheduled, completed, canceled). Current view: Week.","- Calendar page renders sessions associated with the workspace.
- Sessions are displayed according to the currently selected calendar view (Day / Week / Month)."
US11-2,Empty state — no sessions in the selected date range,,US11 / AC2,"1. Navigate to the Calendar page.
2. Select a date range with no sessions (e.g., navigate to a month with no bookings).
3. Verify the empty state display.",Date range: a future month with no sessions.,"- An empty calendar grid is displayed.
- No session cards or popovers are shown.
- Calendar navigation (prev/next) and view switching (Day/Week/Month) remain fully functional."
US11-3,Day view — session block height for different durations,,US11 / AC3,"1. Create sessions with durations: 15 min, 20 min, 45 min, 60 min, 90 min.
2. Navigate to Day view; verify each session block's height.","Sessions: 15 min, 20 min, 45 min, 60 min, 90 min sessions for the same day.","- 15 min session: block height = 1/4 of 1-hour slot (fixed minimum).
- 20 min session: block height = 20/60 of 1-hour slot (~1/3).
- 45 min session: block height = 45/60 of 1-hour slot (3/4).
- 60 min session: block height = 60/60 (full 1-hour slot).
- 90 min session: block height = 1.5 hour slots."
US11-4,Day view — session content display based on duration tiers,,US11 / AC3,"1. Create sessions with durations: 30 min, 50 min, 60 min.
2. Navigate to Day view; verify the content displayed in each session block.","Client: John Smith. Sessions: 30 min at 9 AM, 50 min at 10 AM, 60 min at 2 PM. Session names defined.","- 30 min session (≤45 min): 1 line showing client name, start time, session name.
- 50 min session (>45 min and <60 min): 2 lines — Line 1: client name + start time; Line 2: session name.
- 60 min session (≥60 min): 3 lines — Line 1: client name; Line 2: start time – end time; Line 3: session name."
US11-5,Day view — time range display (same vs different am/pm),,US11 / AC3,"1. Create a 60+ min session from 10:00 AM to 11:30 AM (same am/pm).
2. Create a 90 min session from 11:00 AM to 12:30 PM (different am/pm).
3. Navigate to Day view; verify the time range text on each block.","Session 1: 10:00 AM – 11:30 AM (same AM/PM). Session 2: 11:00 AM – 12:30 PM (different AM/PM).","- Session 1 (same am/pm): displays ""10:00 AM – 11:30 AM"" (am/pm shown for both).
- Session 2 (different am/pm): displays ""11:00 AM – 12:30 PM"" (am/pm shown only for end time)."
US11-6,Day view — horizontal stacking and sort order for overlapping sessions,,US11 / AC3,"1. Create three overlapping sessions: Session A at 10:00 AM for 60 min, Session B at 10:00 AM for 30 min, Session C at 10:30 AM for 30 min.
2. Navigate to Day view and verify stacking and sorting.","Session A: 10:00 AM 60 min (older). Session B: 10:00 AM 30 min. Session C: 10:30 AM 30 min.","- All overlapping sessions are displayed side by side (horizontally stacked).
- Sort order: Session C (later start) is to the right of Sessions A and B; Session A (same start, longer duration) is to the left of Session B.
- Among same start/same duration, older created_at is on the left.
- Each session block width is reduced proportionally to fit the available horizontal space.
- Content that exceeds block space is truncated."
US11-7,Day view — canceled session display (early vs late canceled),,US11 / AC3,"1. Create an Early canceled session and a Late canceled session; both visible in Day view.
2. Navigate to Day view; verify their visual representation.","One Early canceled session, one Late canceled session.","- Early canceled session: displayed with a dashed border and client name shown with strikethrough.
- Late canceled session: displayed with a dashed border, an ""i"" icon, and client name shown with strikethrough.
- Both apply in past and current date states."
US11-8,Day view — session color based on session type vs custom session,,US11 / AC3,"1. Create one session tied to a session type (with a specific color) and one custom session (with a manually selected color).
2. Navigate to Day view; verify session block colors.","Session type color: blue. Custom session color: green.","- Session tied to session type is displayed in the session type's color (blue).
- Custom session is displayed in the manually selected color (green)."
US11-9,Day view — past vs current session visual distinction,,US11 / AC3,"1. Ensure there are past sessions (end_time < current_time) and upcoming sessions (end_time >= current_time) visible in Day view.
2. Verify color and state distinction (hover, selected).","Past session end time: yesterday 10:00 AM. Upcoming session: tomorrow 10:00 AM.","- Past sessions are visually distinguished from current/upcoming sessions.
- The distinction applies to hover and selected states.
- Applies for all session statuses: Completed, Scheduled, Early canceled, Late canceled."
US11-10,Week view — sessions displayed across 7 day columns with correct stacking,,US11 / AC3,"1. Create sessions across multiple days this week, including overlapping ones on the same day.
2. Navigate to Week view and verify layout.",Sessions on Mon, Wed, Fri — two overlapping on Wednesday.,"- Sessions are displayed across 7 day columns.
- Overlapping sessions on the same day are stacked horizontally.
- Sessions are sorted by start time ascending; same start time sorted by created time.
- Session colors follow the same rules as Day view (session type color vs custom color).
- Past vs current distinction is applied."
US11-11,Week view — multi-day and across-days session display,,US11 / AC3,"1. Create a session from Jan 30 11:00 PM to Jan 31 1:00 AM.
2. Navigate to Week view covering Jan 30 – Feb 1.
3. Verify the session appears on both days.","Cross-day session: Jan 30 11:00 PM – Jan 31 1:00 AM.","- On Jan 30: session block displayed from 11:00 PM to 12:00 AM.
- On Jan 31: session block displayed from 12:00 AM to 1:00 AM.
- Multi-day/all-day sessions are shown at the top of the calendar area."
US11-12,Month view — sessions displayed as condensed items per date cell,,US11 / AC3,"1. Navigate to Month view.
2. Verify session items within a date cell that has sessions.","Date with sessions: March 10 2026 — 3 sessions.","- Sessions are shown as condensed items in the date cell.
- Each item displays: Start time, Client name.
- Session color follows session type or custom session rules.
- Past vs current visual distinction is applied."
US11-13,Month view — ""N more"" indicator and popover for excess sessions,,US11 / AC3,"1. Navigate to Month view; ensure a date cell has more sessions than can be displayed on screen.
2. Verify the ""+N more"" indicator.
3. Click the ""+N more"" indicator.
4. Verify the popover content and behavior.",Date cell with 5 sessions; screen shows only 2.,"- ""[N] more"" indicator is shown for the remaining sessions not visible.
- Clicking the indicator opens a popover listing all sessions for that date.
- Popover max height: 292px; scrollable.
- Sessions are sorted by start time ascending; same start time by created time.
- Clicking any session in the popover opens its session detail popup.
- Clicking outside the popover closes it."
US11-14,Month view — multi-day/all-day session spans across days,,US11 / AC3,"1. Create a multi-day session spanning March 10–12 2026.
2. Navigate to Month view.
3. Verify calendar and popover display.",Multi-day session: March 10–12 2026.,"- Session is displayed across all covered days on the calendar.
- ""[N] more"" collapsed count is shown on the calendar cell.
- Expanded list in the popover shows the full session details."
US11-15,Session detail popover — all fields and quick actions,,US11 / AC4,"1. Click on any session block on the calendar.
2. Verify all fields in the session detail popover.
3. Verify quick action icons and their hover tooltips.",Session with: status Scheduled, name, client, date, time, duration, location (In-person), address, location note, description, note to client. Trainer defined.,"- Session detail popover opens.
- Popover displays: Session status (Scheduled), session name, client name, client avatar, date, start time – end time, duration, location type (In-person), address, location note, description, note to client, trainer name and avatar.
- Quick action icons displayed with hover state.
- ""Edit"" icon shows tooltip ""Edit session"" on hover.
- ""Delete"" icon shows tooltip ""Cancel session"" on hover.
- ""x"" icon has no hover state."
US11-16,Session detail popover — time range format (same vs different day/am-pm),,US11 / AC4,"1. Create a session from 10:00 AM to 11:00 AM (same day, same am/pm).
2. Create a session from Jan 30 11:00 PM to Jan 31 1:00 AM (different day).
3. Click each session; verify the time range display in the popover.","Session 1: same day same am/pm. Session 2: different days.","- Session 1 (same day and same am/pm): displays ""10:00 AM – 11:00 AM"" (am/pm for both).
- Session 2 (different days): displays ""<Date>, <Start time> – <Date>, <End time>"" format."
US11-17,Session detail popover — optional fields hidden when not set,,US11 / AC4,"1. Create a session with no address, no location note, no description, and no note to client.
2. Click the session to open the detail popover.
3. Verify optional fields are not displayed.",Session without optional fields (address, location note, description, note to client).,"- Optional fields (address, location note, description, note to client) are not shown in the popover when not defined.
- All non-optional fields (status, name, client, date, time, duration, location type, trainer) are displayed."
US11-18,Session detail popover — handles long notes and description,,US11 / AC4,"1. Create a session with a very long description (>200 chars) and a long note to client.
2. Click the session to open the detail popover.
3. Verify display behavior for long content.",Description: 250 chars. Note to client: 500 chars.,"- Long description and long note to client are displayed in the popover.
- Content is handled correctly (e.g., scrollable or wrapped) without breaking the popover layout."
